Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Alcova Heights,,,,
2010 Census (Summary File 1),Alcova Heights,,Arlington ,
Alcova Heights,Number,Percent,Number,Percent
TOTAL POPULATION,"1,900 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,445 ",76.10%,"176,245 ",84.90%
White alone,"1,105 ",58.20%,"132,961 ",64.00%
Black or African-American alone,89 ,4.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,5 ,0.30%,394 ,0.20%
Asian alone,185 ,9.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,5 ,0.30%,611 ,0.30%
Two or more Races,56 ,2.90%,"5,296 ",2.60%
Total Hispanic or Latino,455 ,23.90%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,142 ,7.50%,"11,782 ",5.7% 
5 to 17 years,220 ,11.60%,"20,844 ",10.0% 
18 to 24 years,149 ,7.80%,"20,315 ",9.8% 
25 to 34 years,390 ,20.50%,"57,402 ",27.6% 
35 to 44 years,321 ,16.90%,"32,868 ",15.8% 
45 to 54 years,310 ,16.30%,"25,717 ",12.4% 
55 to 64 years,230 ,12.10%,"20,645 ",9.9% 
65 to 74 years,90 ,4.70%,"10,086 ",4.9% 
75 to 84 years,37 ,1.90%,"5,153 ",2.5% 
85 years and over,11 ,0.60%,"2,815 ",1.40%
Sex,,,,
Male,931 ,49.00%,"103,501 ",49.80%
Female,969 ,51.00%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,745 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,432 ,58.00%,"41,607 ",42.4% 
Husband-wife family,353 ,47.40%,"33,218 ",33.9% 
Other family:,79 ,10.60%,"8,389 ",8.6% 
"Male householder, no wife present",22 ,3.00%,"2,623 ",2.7% 
"Female householder, no husband present",57 ,7.70%,"5,766 ",5.9% 
Nonfamily households:,313 ,42.00%,"56,443 ",57.6% 
Householder living alone,207 ,27.80%,"40,516 ",41.3% 
Householder not living alone,106 ,14.20%,"15,927 ",16.20%
Household Size ,,,,
1-person household,207,27.80%,"40,516 ",41.3% 
2-person household,253,34.00%,"31,738 ",32.4% 
3-person household,125,16.80%,"11,633 ",11.9% 
4-person household,79,10.60%,"8,793 ",9.0% 
5-person household,48,6.40%,"3,286 ",3.4% 
6-person household,14,1.90%,"1,203 ",1.2% 
7-or-more-person household,19,2.60%,881 ,0.90%
TOTAL HOUSING UNITS,784,100.00%,"105,404 ",100.00%
Occupied Housing Units,745,95.00%,"98,050 ",93.00%
Owner-Occupied,546,69.60%,"42,457 ",40.30%
Renter-Occupied,199,25.40%,"55,593 ",52.70%
Vacant Housing Units,39,5.00%,"7,354 ",7.00%
