Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Arlington Heights,,,,
2010 Census (Summary File 1),Arlington Heights,,Arlington ,
Arlington Heights,Number,Percent,Number,Percent
TOTAL POPULATION,"2,555 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,967 ",77.00%,"176,245 ",84.90%
White alone,"1,471 ",57.60%,"132,961 ",64.00%
Black or African-American alone,154 ,6.00%,"17,088 ",8.20%
American Indian or Alaska Native alone,4 ,0.20%,394 ,0.20%
Asian alone,257 ,10.10%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,7 ,0.30%,133 ,0.10%
Some other Race alone,11 ,0.40%,611 ,0.30%
Two or more Races,63 ,2.50%,"5,296 ",2.60%
Total Hispanic or Latino,588 ,23.00%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,202 ,7.90%,"11,782 ",5.7% 
5 to 17 years,277 ,10.80%,"20,844 ",10.0% 
18 to 24 years,162 ,6.30%,"20,315 ",9.8% 
25 to 34 years,545 ,21.30%,"57,402 ",27.6% 
35 to 44 years,495 ,19.40%,"32,868 ",15.8% 
45 to 54 years,376 ,14.70%,"25,717 ",12.4% 
55 to 64 years,289 ,11.30%,"20,645 ",9.9% 
65 to 74 years,146 ,5.70%,"10,086 ",4.9% 
75 to 84 years,40 ,1.60%,"5,153 ",2.5% 
85 years and over,23 ,0.90%,"2,815 ",1.40%
Sex,,,,
Male,"1,275 ",49.90%,"103,501 ",49.80%
Female,"1,280 ",50.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,032 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,546 ,52.90%,"41,607 ",42.4% 
Husband-wife family,427 ,41.40%,"33,218 ",33.9% 
Other family:,119 ,11.50%,"8,389 ",8.6% 
"Male householder, no wife present",30 ,2.90%,"2,623 ",2.7% 
"Female householder, no husband present",89 ,8.60%,"5,766 ",5.9% 
Nonfamily households:,486 ,47.10%,"56,443 ",57.6% 
Householder living alone,336 ,32.60%,"40,516 ",41.3% 
Householder not living alone,150 ,14.50%,"15,927 ",16.20%
Household Size ,,,,
1-person household,336,32.60%,"40,516 ",41.3% 
2-person household,319,30.90%,"31,738 ",32.4% 
3-person household,172,16.70%,"11,633 ",11.9% 
4-person household,105,10.20%,"8,793 ",9.0% 
5-person household,45,4.40%,"3,286 ",3.4% 
6-person household,21,2.00%,"1,203 ",1.2% 
7-or-more-person household,34,3.30%,881 ,0.90%
TOTAL HOUSING UNITS,1070,100.00%,"105,404 ",100.00%
Occupied Housing Units,1032,96.40%,"98,050 ",93.00%
Owner-Occupied,637,59.50%,"42,457 ",40.30%
Renter-Occupied,395,36.90%,"55,593 ",52.70%
Vacant Housing Units,38,3.60%,"7,354 ",7.00%
