Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Arlington Ridge,,,,
2010 Census (Summary File 1),Arlington Ridge,,Arlington ,
Arlington Ridge,Number,Percent,Number,Percent
TOTAL POPULATION,"6,324 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"5,926 ",93.70%,"176,245 ",84.90%
White alone,"4,634 ",73.30%,"132,961 ",64.00%
Black or African-American alone,250 ,4.00%,"17,088 ",8.20%
American Indian or Alaska Native alone,20 ,0.30%,394 ,0.20%
Asian alone,835 ,13.20%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,4 ,0.10%,133 ,0.10%
Some other Race alone,15 ,0.20%,611 ,0.30%
Two or more Races,168 ,2.70%,"5,296 ",2.60%
Total Hispanic or Latino,398 ,6.30%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,225 ,3.60%,"11,782 ",5.7% 
5 to 17 years,385 ,6.10%,"20,844 ",10.0% 
18 to 24 years,511 ,8.10%,"20,315 ",9.8% 
25 to 34 years,"1,836 ",29.00%,"57,402 ",27.6% 
35 to 44 years,943 ,14.90%,"32,868 ",15.8% 
45 to 54 years,720 ,11.40%,"25,717 ",12.4% 
55 to 64 years,792 ,12.50%,"20,645 ",9.9% 
65 to 74 years,506 ,8.00%,"10,086 ",4.9% 
75 to 84 years,280 ,4.40%,"5,153 ",2.5% 
85 years and over,126 ,2.00%,"2,815 ",1.40%
Sex,,,,
Male,"3,032 ",47.90%,"103,501 ",49.80%
Female,"3,292 ",52.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"3,549 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,248 ",35.20%,"41,607 ",42.4% 
Husband-wife family,"1,110 ",31.30%,"33,218 ",33.9% 
Other family:,138 ,3.90%,"8,389 ",8.6% 
"Male householder, no wife present",44 ,1.20%,"2,623 ",2.7% 
"Female householder, no husband present",94 ,2.60%,"5,766 ",5.9% 
Nonfamily households:,"2,301 ",64.80%,"56,443 ",57.6% 
Householder living alone,"1,747 ",49.20%,"40,516 ",41.3% 
Householder not living alone,554 ,15.60%,"15,927 ",16.20%
Household Size ,,,,
1-person household,1747,49.20%,"40,516 ",41.3% 
2-person household,1217,34.30%,"31,738 ",32.4% 
3-person household,319,9.00%,"11,633 ",11.9% 
4-person household,182,5.10%,"8,793 ",9.0% 
5-person household,56,1.60%,"3,286 ",3.4% 
6-person household,21,0.60%,"1,203 ",1.2% 
7-or-more-person household,7,0.20%,881 ,0.90%
TOTAL HOUSING UNITS,3755,100.00%,"105,404 ",100.00%
Occupied Housing Units,3549,94.50%,"98,050 ",93.00%
Owner-Occupied,1561,41.60%,"42,457 ",40.30%
Renter-Occupied,1988,52.90%,"55,593 ",52.70%
Vacant Housing Units,206,5.50%,"7,354 ",7.00%
