Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Arlington View,,,,
2010 Census (Summary File 1),Arlington View,,Arlington ,
Arlington View,Number,Percent,Number,Percent
TOTAL POPULATION,979 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,877 ,89.60%,"176,245 ",84.90%
White alone,186 ,19.00%,"132,961 ",64.00%
Black or African-American alone,606 ,61.90%,"17,088 ",8.20%
American Indian or Alaska Native alone,12 ,1.20%,394 ,0.20%
Asian alone,56 ,5.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.10%,133 ,0.10%
Some other Race alone,1 ,0.10%,611 ,0.30%
Two or more Races,15 ,1.50%,"5,296 ",2.60%
Total Hispanic or Latino,102 ,10.40%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,65 ,6.60%,"11,782 ",5.7% 
5 to 17 years,141 ,14.40%,"20,844 ",10.0% 
18 to 24 years,74 ,7.60%,"20,315 ",9.8% 
25 to 34 years,179 ,18.30%,"57,402 ",27.6% 
35 to 44 years,157 ,16.00%,"32,868 ",15.8% 
45 to 54 years,135 ,13.80%,"25,717 ",12.4% 
55 to 64 years,107 ,10.90%,"20,645 ",9.9% 
65 to 74 years,58 ,5.90%,"10,086 ",4.9% 
75 to 84 years,43 ,4.40%,"5,153 ",2.5% 
85 years and over,20 ,2.00%,"2,815 ",1.40%
Sex,,,,
Male,477 ,48.70%,"103,501 ",49.80%
Female,502 ,51.30%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,376 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,225 ,59.80%,"41,607 ",42.4% 
Husband-wife family,112 ,29.80%,"33,218 ",33.9% 
Other family:,113 ,30.10%,"8,389 ",8.6% 
"Male householder, no wife present",29 ,7.70%,"2,623 ",2.7% 
"Female householder, no husband present",84 ,22.30%,"5,766 ",5.9% 
Nonfamily households:,151 ,40.20%,"56,443 ",57.6% 
Householder living alone,108 ,28.70%,"40,516 ",41.3% 
Householder not living alone,43 ,11.40%,"15,927 ",16.20%
Household Size ,,,,
1-person household,108,28.70%,"40,516 ",41.3% 
2-person household,116,30.90%,"31,738 ",32.4% 
3-person household,62,16.50%,"11,633 ",11.9% 
4-person household,46,12.20%,"8,793 ",9.0% 
5-person household,21,5.60%,"3,286 ",3.4% 
6-person household,11,2.90%,"1,203 ",1.2% 
7-or-more-person household,12,3.20%,881 ,0.90%
TOTAL HOUSING UNITS,391,100.00%,"105,404 ",100.00%
Occupied Housing Units,376,96.20%,"98,050 ",93.00%
Owner-Occupied,202,51.70%,"42,457 ",40.30%
Renter-Occupied,174,44.50%,"55,593 ",52.70%
Vacant Housing Units,15,3.80%,"7,354 ",7.00%
