Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Arlingwood,,,,
2010 Census (Summary File 1),Arlingwood,,Arlington ,
Arlingwood,Number,Percent,Number,Percent
TOTAL POPULATION,366 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,351 ,95.90%,"176,245 ",84.90%
White alone,325 ,88.80%,"132,961 ",64.00%
Black or African-American alone,7 ,1.90%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.50%,394 ,0.20%
Asian alone,9 ,2.50%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,3 ,0.80%,611 ,0.30%
Two or more Races,5 ,1.40%,"5,296 ",2.60%
Total Hispanic or Latino,15 ,4.10%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,24 ,6.60%,"11,782 ",5.7% 
5 to 17 years,76 ,20.80%,"20,844 ",10.0% 
18 to 24 years,13 ,3.60%,"20,315 ",9.8% 
25 to 34 years,12 ,3.30%,"57,402 ",27.6% 
35 to 44 years,37 ,10.10%,"32,868 ",15.8% 
45 to 54 years,62 ,16.90%,"25,717 ",12.4% 
55 to 64 years,67 ,18.30%,"20,645 ",9.9% 
65 to 74 years,37 ,10.10%,"10,086 ",4.9% 
75 to 84 years,23 ,6.30%,"5,153 ",2.5% 
85 years and over,15 ,4.10%,"2,815 ",1.40%
Sex,,,,
Male,175 ,47.80%,"103,501 ",49.80%
Female,191 ,52.20%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,136 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,110 ,80.90%,"41,607 ",42.4% 
Husband-wife family,102 ,75.00%,"33,218 ",33.9% 
Other family:,8 ,5.90%,"8,389 ",8.6% 
"Male householder, no wife present",4 ,2.90%,"2,623 ",2.7% 
"Female householder, no husband present",4 ,2.90%,"5,766 ",5.9% 
Nonfamily households:,26 ,19.10%,"56,443 ",57.6% 
Householder living alone,22 ,16.20%,"40,516 ",41.3% 
Householder not living alone,4 ,2.90%,"15,927 ",16.20%
Household Size ,,,,
1-person household,22,16.20%,"40,516 ",41.3% 
2-person household,52,38.20%,"31,738 ",32.4% 
3-person household,19,14.00%,"11,633 ",11.9% 
4-person household,33,24.30%,"8,793 ",9.0% 
5-person household,9,6.60%,"3,286 ",3.4% 
6-person household,1,0.70%,"1,203 ",1.2% 
7-or-more-person household,0,0.00%,881 ,0.90%
TOTAL HOUSING UNITS,148,100.00%,"105,404 ",100.00%
Occupied Housing Units,136,91.90%,"98,050 ",93.00%
Owner-Occupied,126,85.10%,"42,457 ",40.30%
Renter-Occupied,10,6.80%,"55,593 ",52.70%
Vacant Housing Units,12,8.10%,"7,354 ",7.00%
