Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Ashton Heights,,,,
2010 Census (Summary File 1),Ashton Heights,,Arlington ,
Ashton Heights,Number,Percent,Number,Percent
TOTAL POPULATION,"3,962 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"3,390 ",85.60%,"176,245 ",84.90%
White alone,"2,712 ",68.50%,"132,961 ",64.00%
Black or African-American alone,251 ,6.30%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.10%,394 ,0.20%
Asian alone,325 ,8.20%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,13 ,0.30%,611 ,0.30%
Two or more Races,87 ,2.20%,"5,296 ",2.60%
Total Hispanic or Latino,572 ,14.40%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,196 ,4.90%,"11,782 ",5.7% 
5 to 17 years,426 ,10.80%,"20,844 ",10.0% 
18 to 24 years,438 ,11.10%,"20,315 ",9.8% 
25 to 34 years,"1,113 ",28.10%,"57,402 ",27.6% 
35 to 44 years,564 ,14.20%,"32,868 ",15.8% 
45 to 54 years,498 ,12.60%,"25,717 ",12.4% 
55 to 64 years,443 ,11.20%,"20,645 ",9.9% 
65 to 74 years,192 ,4.80%,"10,086 ",4.9% 
75 to 84 years,66 ,1.70%,"5,153 ",2.5% 
85 years and over,26 ,0.70%,"2,815 ",1.40%
Sex,,,,
Male,"2,064 ",52.10%,"103,501 ",49.80%
Female,"1,898 ",47.90%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,715 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,773 ,45.10%,"41,607 ",42.4% 
Husband-wife family,623 ,36.30%,"33,218 ",33.9% 
Other family:,150 ,8.70%,"8,389 ",8.6% 
"Male householder, no wife present",47 ,2.70%,"2,623 ",2.7% 
"Female householder, no husband present",103 ,6.00%,"5,766 ",5.9% 
Nonfamily households:,942 ,54.90%,"56,443 ",57.6% 
Householder living alone,620 ,36.20%,"40,516 ",41.3% 
Householder not living alone,322 ,18.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,620,36.20%,"40,516 ",41.3% 
2-person household,521,30.40%,"31,738 ",32.4% 
3-person household,261,15.20%,"11,633 ",11.9% 
4-person household,210,12.20%,"8,793 ",9.0% 
5-person household,61,3.60%,"3,286 ",3.4% 
6-person household,30,1.70%,"1,203 ",1.2% 
7-or-more-person household,12,0.70%,881 ,0.90%
TOTAL HOUSING UNITS,1777,100.00%,"105,404 ",100.00%
Occupied Housing Units,1715,96.50%,"98,050 ",93.00%
Owner-Occupied,685,38.50%,"42,457 ",40.30%
Renter-Occupied,1030,58.00%,"55,593 ",52.70%
Vacant Housing Units,62,3.50%,"7,354 ",7.00%
