Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Ballston - Virginia Square,,,,
2010 Census (Summary File 1),Ballston - Virginia Square,,Arlington ,
Ballston - Virginia Square,Number,Percent,Number,Percent
TOTAL POPULATION,"13,753 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"13,043 ",94.80%,"176,245 ",84.90%
White alone,"10,625 ",77.30%,"132,961 ",64.00%
Black or African-American alone,392 ,2.90%,"17,088 ",8.20%
American Indian or Alaska Native alone,17 ,0.10%,394 ,0.20%
Asian alone,"1,625 ",11.80%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,3 ,0.00%,133 ,0.10%
Some other Race alone,31 ,0.20%,611 ,0.30%
Two or more Races,350 ,2.50%,"5,296 ",2.60%
Total Hispanic or Latino,710 ,5.20%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,375 ,2.70%,"11,782 ",5.7% 
5 to 17 years,344 ,2.50%,"20,844 ",10.0% 
18 to 24 years,"1,895 ",13.80%,"20,315 ",9.8% 
25 to 34 years,"5,960 ",43.30%,"57,402 ",27.6% 
35 to 44 years,"1,848 ",13.40%,"32,868 ",15.8% 
45 to 54 years,"1,126 ",8.20%,"25,717 ",12.4% 
55 to 64 years,968 ,7.00%,"20,645 ",9.9% 
65 to 74 years,505 ,3.70%,"10,086 ",4.9% 
75 to 84 years,369 ,2.70%,"5,153 ",2.5% 
85 years and over,363 ,2.60%,"2,815 ",1.40%
Sex,,,,
Male,"6,902 ",50.20%,"103,501 ",49.80%
Female,"6,851 ",49.80%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"8,218 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,976 ",24.00%,"41,607 ",42.4% 
Husband-wife family,"1,667 ",20.30%,"33,218 ",33.9% 
Other family:,309 ,3.80%,"8,389 ",8.6% 
"Male householder, no wife present",116 ,1.40%,"2,623 ",2.7% 
"Female householder, no husband present",193 ,2.30%,"5,766 ",5.9% 
Nonfamily households:,"6,242 ",76.00%,"56,443 ",57.6% 
Householder living alone,"4,225 ",51.40%,"40,516 ",41.3% 
Householder not living alone,"2,017 ",24.50%,"15,927 ",16.20%
Household Size ,,,,
1-person household,4225,51.40%,"40,516 ",41.3% 
2-person household,2983,36.30%,"31,738 ",32.4% 
3-person household,683,8.30%,"11,633 ",11.9% 
4-person household,253,3.10%,"8,793 ",9.0% 
5-person household,58,0.70%,"3,286 ",3.4% 
6-person household,10,0.10%,"1,203 ",1.2% 
7-or-more-person household,6,0.10%,881 ,0.90%
TOTAL HOUSING UNITS,8861,100.00%,"105,404 ",100.00%
Occupied Housing Units,8218,92.70%,"98,050 ",93.00%
Owner-Occupied,2918,32.90%,"42,457 ",40.30%
Renter-Occupied,5300,59.80%,"55,593 ",52.70%
Vacant Housing Units,643,7.30%,"7,354 ",7.00%
