Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Barcroft,,,,
2010 Census (Summary File 1),Barcroft,,Arlington ,
Barcroft,Number,Percent,Number,Percent
TOTAL POPULATION,"3,477 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,198 ",63.20%,"176,245 ",84.90%
White alone,"1,728 ",49.70%,"132,961 ",64.00%
Black or African-American alone,174 ,5.00%,"17,088 ",8.20%
American Indian or Alaska Native alone,7 ,0.20%,394 ,0.20%
Asian alone,197 ,5.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,3 ,0.10%,133 ,0.10%
Some other Race alone,11 ,0.30%,611 ,0.30%
Two or more Races,78 ,2.20%,"5,296 ",2.60%
Total Hispanic or Latino,"1,279 ",36.80%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,282 ,8.10%,"11,782 ",5.7% 
5 to 17 years,438 ,12.60%,"20,844 ",10.0% 
18 to 24 years,339 ,9.70%,"20,315 ",9.8% 
25 to 34 years,794 ,22.80%,"57,402 ",27.6% 
35 to 44 years,547 ,15.70%,"32,868 ",15.8% 
45 to 54 years,482 ,13.90%,"25,717 ",12.4% 
55 to 64 years,347 ,10.00%,"20,645 ",9.9% 
65 to 74 years,144 ,4.10%,"10,086 ",4.9% 
75 to 84 years,69 ,2.00%,"5,153 ",2.5% 
85 years and over,35 ,1.00%,"2,815 ",1.40%
Sex,,,,
Male,"1,838 ",52.90%,"103,501 ",49.80%
Female,"1,639 ",47.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,285 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,774 ,60.20%,"41,607 ",42.4% 
Husband-wife family,593 ,46.10%,"33,218 ",33.9% 
Other family:,181 ,14.10%,"8,389 ",8.6% 
"Male householder, no wife present",87 ,6.80%,"2,623 ",2.7% 
"Female householder, no husband present",94 ,7.30%,"5,766 ",5.9% 
Nonfamily households:,511 ,39.80%,"56,443 ",57.6% 
Householder living alone,343 ,26.70%,"40,516 ",41.3% 
Householder not living alone,168 ,13.10%,"15,927 ",16.20%
Household Size ,,,,
1-person household,343,26.70%,"40,516 ",41.3% 
2-person household,362,28.20%,"31,738 ",32.4% 
3-person household,209,16.30%,"11,633 ",11.9% 
4-person household,216,16.80%,"8,793 ",9.0% 
5-person household,84,6.50%,"3,286 ",3.4% 
6-person household,40,3.10%,"1,203 ",1.2% 
7-or-more-person household,31,2.40%,881 ,0.90%
TOTAL HOUSING UNITS,1327,100.00%,"105,404 ",100.00%
Occupied Housing Units,1285,96.80%,"98,050 ",93.00%
Owner-Occupied,687,51.80%,"42,457 ",40.30%
Renter-Occupied,598,45.10%,"55,593 ",52.70%
Vacant Housing Units,42,3.20%,"7,354 ",7.00%
