Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Bellevue Forest,,,,
2010 Census (Summary File 1),Bellevue Forest,,Arlington ,
Bellevue Forest,Number,Percent,Number,Percent
TOTAL POPULATION,"1,043 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,002 ",96.10%,"176,245 ",84.90%
White alone,949 ,91.00%,"132,961 ",64.00%
Black or African-American alone,12 ,1.20%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.10%,394 ,0.20%
Asian alone,28 ,2.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,1 ,0.10%,611 ,0.30%
Two or more Races,11 ,1.10%,"5,296 ",2.60%
Total Hispanic or Latino,41 ,3.90%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,53 ,5.10%,"11,782 ",5.7% 
5 to 17 years,215 ,20.60%,"20,844 ",10.0% 
18 to 24 years,41 ,3.90%,"20,315 ",9.8% 
25 to 34 years,37 ,3.50%,"57,402 ",27.6% 
35 to 44 years,140 ,13.40%,"32,868 ",15.8% 
45 to 54 years,208 ,19.90%,"25,717 ",12.4% 
55 to 64 years,197 ,18.90%,"20,645 ",9.9% 
65 to 74 years,75 ,7.20%,"10,086 ",4.9% 
75 to 84 years,55 ,5.30%,"5,153 ",2.5% 
85 years and over,22 ,2.10%,"2,815 ",1.40%
Sex,,,,
Male,514 ,49.30%,"103,501 ",49.80%
Female,529 ,50.70%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,392 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,312 ,79.60%,"41,607 ",42.4% 
Husband-wife family,291 ,74.20%,"33,218 ",33.9% 
Other family:,21 ,5.40%,"8,389 ",8.6% 
"Male householder, no wife present",8 ,2.00%,"2,623 ",2.7% 
"Female householder, no husband present",13 ,3.30%,"5,766 ",5.9% 
Nonfamily households:,80 ,20.40%,"56,443 ",57.6% 
Householder living alone,65 ,16.60%,"40,516 ",41.3% 
Householder not living alone,15 ,3.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,65,16.60%,"40,516 ",41.3% 
2-person household,144,36.70%,"31,738 ",32.4% 
3-person household,85,21.70%,"11,633 ",11.9% 
4-person household,65,16.60%,"8,793 ",9.0% 
5-person household,25,6.40%,"3,286 ",3.4% 
6-person household,6,1.50%,"1,203 ",1.2% 
7-or-more-person household,2,0.50%,881 ,0.90%
TOTAL HOUSING UNITS,402,100.00%,"105,404 ",100.00%
Occupied Housing Units,392,97.50%,"98,050 ",93.00%
Owner-Occupied,376,93.50%,"42,457 ",40.30%
Renter-Occupied,16,4.00%,"55,593 ",52.70%
Vacant Housing Units,10,2.50%,"7,354 ",7.00%
