Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Bluemont,,,,
2010 Census (Summary File 1),Bluemont,,Arlington ,
Bluemont,Number,Percent,Number,Percent
TOTAL POPULATION,"5,850 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"5,235 ",89.50%,"176,245 ",84.90%
White alone,"4,497 ",76.90%,"132,961 ",64.00%
Black or African-American alone,140 ,2.40%,"17,088 ",8.20%
American Indian or Alaska Native alone,10 ,0.20%,394 ,0.20%
Asian alone,417 ,7.10%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.00%,133 ,0.10%
Some other Race alone,19 ,0.30%,611 ,0.30%
Two or more Races,151 ,2.60%,"5,296 ",2.60%
Total Hispanic or Latino,615 ,10.50%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,392 ,6.70%,"11,782 ",5.7% 
5 to 17 years,691 ,11.80%,"20,844 ",10.0% 
18 to 24 years,581 ,9.90%,"20,315 ",9.8% 
25 to 34 years,"1,502 ",25.70%,"57,402 ",27.6% 
35 to 44 years,883 ,15.10%,"32,868 ",15.8% 
45 to 54 years,725 ,12.40%,"25,717 ",12.4% 
55 to 64 years,596 ,10.20%,"20,645 ",9.9% 
65 to 74 years,280 ,4.80%,"10,086 ",4.9% 
75 to 84 years,133 ,2.30%,"5,153 ",2.5% 
85 years and over,67 ,1.10%,"2,815 ",1.40%
Sex,,,,
Male,"3,031 ",51.80%,"103,501 ",49.80%
Female,"2,819 ",48.20%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"2,300 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,193 ",51.90%,"41,607 ",42.4% 
Husband-wife family,"1,002 ",43.60%,"33,218 ",33.9% 
Other family:,191 ,8.30%,"8,389 ",8.6% 
"Male householder, no wife present",53 ,2.30%,"2,623 ",2.7% 
"Female householder, no husband present",138 ,6.00%,"5,766 ",5.9% 
Nonfamily households:,"1,107 ",48.10%,"56,443 ",57.6% 
Householder living alone,583 ,25.30%,"40,516 ",41.3% 
Householder not living alone,524 ,22.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,583,25.30%,"40,516 ",41.3% 
2-person household,771,33.50%,"31,738 ",32.4% 
3-person household,381,16.60%,"11,633 ",11.9% 
4-person household,376,16.30%,"8,793 ",9.0% 
5-person household,130,5.70%,"3,286 ",3.4% 
6-person household,32,1.40%,"1,203 ",1.2% 
7-or-more-person household,27,1.20%,881 ,0.90%
TOTAL HOUSING UNITS,2392,100.00%,"105,404 ",100.00%
Occupied Housing Units,2300,96.20%,"98,050 ",93.00%
Owner-Occupied,1444,60.40%,"42,457 ",40.30%
Renter-Occupied,856,35.80%,"55,593 ",52.70%
Vacant Housing Units,92,3.80%,"7,354 ",7.00%
