Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Boulevard Manor,,,,
2010 Census (Summary File 1),Boulevard Manor,,Arlington ,
Boulevard Manor,Number,Percent,Number,Percent
TOTAL POPULATION,"1,828 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,420 ",77.70%,"176,245 ",84.90%
White alone,"1,061 ",58.00%,"132,961 ",64.00%
Black or African-American alone,105 ,5.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,3 ,0.20%,394 ,0.20%
Asian alone,194 ,10.60%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,1 ,0.10%,611 ,0.30%
Two or more Races,56 ,3.10%,"5,296 ",2.60%
Total Hispanic or Latino,408 ,22.30%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,125 ,6.80%,"11,782 ",5.7% 
5 to 17 years,291 ,15.90%,"20,844 ",10.0% 
18 to 24 years,125 ,6.80%,"20,315 ",9.8% 
25 to 34 years,200 ,10.90%,"57,402 ",27.6% 
35 to 44 years,259 ,14.20%,"32,868 ",15.8% 
45 to 54 years,247 ,13.50%,"25,717 ",12.4% 
55 to 64 years,205 ,11.20%,"20,645 ",9.9% 
65 to 74 years,115 ,6.30%,"10,086 ",4.9% 
75 to 84 years,106 ,5.80%,"5,153 ",2.5% 
85 years and over,155 ,8.50%,"2,815 ",1.40%
Sex,,,,
Male,866 ,47.40%,"103,501 ",49.80%
Female,962 ,52.60%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,678 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,434 ,64.00%,"41,607 ",42.4% 
Husband-wife family,334 ,49.30%,"33,218 ",33.9% 
Other family:,100 ,14.70%,"8,389 ",8.6% 
"Male householder, no wife present",24 ,3.50%,"2,623 ",2.7% 
"Female householder, no husband present",76 ,11.20%,"5,766 ",5.9% 
Nonfamily households:,244 ,36.00%,"56,443 ",57.6% 
Householder living alone,204 ,30.10%,"40,516 ",41.3% 
Householder not living alone,40 ,5.90%,"15,927 ",16.20%
Household Size ,,,,
1-person household,204,30.10%,"40,516 ",41.3% 
2-person household,190,28.00%,"31,738 ",32.4% 
3-person household,96,14.20%,"11,633 ",11.9% 
4-person household,110,16.20%,"8,793 ",9.0% 
5-person household,39,5.80%,"3,286 ",3.4% 
6-person household,23,3.40%,"1,203 ",1.2% 
7-or-more-person household,16,2.40%,881 ,0.90%
TOTAL HOUSING UNITS,713,100.00%,"105,404 ",100.00%
Occupied Housing Units,678,95.10%,"98,050 ",93.00%
Owner-Occupied,388,54.40%,"42,457 ",40.30%
Renter-Occupied,290,40.70%,"55,593 ",52.70%
Vacant Housing Units,35,4.90%,"7,354 ",7.00%
