Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Chain Bridge Forest,,,,
2010 Census (Summary File 1),Chain Bridge Forest,,Arlington ,
Chain Bridge Forest,Number,Percent,Number,Percent
TOTAL POPULATION,528 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,507 ,96.00%,"176,245 ",84.90%
White alone,468 ,88.60%,"132,961 ",64.00%
Black or African-American alone,11 ,2.10%,"17,088 ",8.20%
American Indian or Alaska Native alone,3 ,0.60%,394 ,0.20%
Asian alone,17 ,3.20%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,- ,0.00%,611 ,0.30%
Two or more Races,8 ,1.50%,"5,296 ",2.60%
Total Hispanic or Latino,21 ,4.00%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,23 ,4.40%,"11,782 ",5.7% 
5 to 17 years,117 ,22.20%,"20,844 ",10.0% 
18 to 24 years,23 ,4.40%,"20,315 ",9.8% 
25 to 34 years,16 ,3.00%,"57,402 ",27.6% 
35 to 44 years,60 ,11.40%,"32,868 ",15.8% 
45 to 54 years,82 ,15.50%,"25,717 ",12.4% 
55 to 64 years,94 ,17.80%,"20,645 ",9.9% 
65 to 74 years,49 ,9.30%,"10,086 ",4.9% 
75 to 84 years,45 ,8.50%,"5,153 ",2.5% 
85 years and over,19 ,3.60%,"2,815 ",1.40%
Sex,,,,
Male,254 ,48.10%,"103,501 ",49.80%
Female,274 ,51.90%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,194 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,160 ,82.50%,"41,607 ",42.4% 
Husband-wife family,146 ,75.30%,"33,218 ",33.9% 
Other family:,14 ,7.20%,"8,389 ",8.6% 
"Male householder, no wife present",4 ,2.10%,"2,623 ",2.7% 
"Female householder, no husband present",10 ,5.20%,"5,766 ",5.9% 
Nonfamily households:,34 ,17.50%,"56,443 ",57.6% 
Householder living alone,29 ,14.90%,"40,516 ",41.3% 
Householder not living alone,5 ,2.60%,"15,927 ",16.20%
Household Size ,,,,
1-person household,29,14.90%,"40,516 ",41.3% 
2-person household,72,37.10%,"31,738 ",32.4% 
3-person household,35,18.00%,"11,633 ",11.9% 
4-person household,42,21.60%,"8,793 ",9.0% 
5-person household,14,7.20%,"3,286 ",3.4% 
6-person household,2,1.00%,"1,203 ",1.2% 
7-or-more-person household,0,0.00%,881 ,0.90%
TOTAL HOUSING UNITS,202,100.00%,"105,404 ",100.00%
Occupied Housing Units,194,96.00%,"98,050 ",93.00%
Owner-Occupied,182,90.10%,"42,457 ",40.30%
Renter-Occupied,12,5.90%,"55,593 ",52.70%
Vacant Housing Units,8,4.00%,"7,354 ",7.00%
