Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Cherry Valley Nature Area,,,,
2010 Census (Summary File 1),Cherry Valley Nature Area,,Arlington ,
Cherry Valley Nature Area,Number,Percent,Number,Percent
TOTAL POPULATION,133 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,123 ,92.50%,"176,245 ",84.90%
White alone,106 ,79.70%,"132,961 ",64.00%
Black or African-American alone,2 ,1.50%,"17,088 ",8.20%
American Indian or Alaska Native alone,- ,0.00%,394 ,0.20%
Asian alone,14 ,10.50%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,- ,0.00%,611 ,0.30%
Two or more Races,1 ,0.80%,"5,296 ",2.60%
Total Hispanic or Latino,10 ,7.50%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,4 ,3.00%,"11,782 ",5.7% 
5 to 17 years,22 ,16.50%,"20,844 ",10.0% 
18 to 24 years,19 ,14.30%,"20,315 ",9.8% 
25 to 34 years,26 ,19.50%,"57,402 ",27.6% 
35 to 44 years,10 ,7.50%,"32,868 ",15.8% 
45 to 54 years,23 ,17.30%,"25,717 ",12.4% 
55 to 64 years,17 ,12.80%,"20,645 ",9.9% 
65 to 74 years,8 ,6.00%,"10,086 ",4.9% 
75 to 84 years,1 ,0.80%,"5,153 ",2.5% 
85 years and over,3 ,2.30%,"2,815 ",1.40%
Sex,,,,
Male,76 ,57.10%,"103,501 ",49.80%
Female,57 ,42.90%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,46 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,28 ,60.90%,"41,607 ",42.4% 
Husband-wife family,22 ,47.80%,"33,218 ",33.9% 
Other family:,6 ,13.00%,"8,389 ",8.6% 
"Male householder, no wife present",4 ,8.70%,"2,623 ",2.7% 
"Female householder, no husband present",2 ,4.30%,"5,766 ",5.9% 
Nonfamily households:,18 ,39.10%,"56,443 ",57.6% 
Householder living alone,9 ,19.60%,"40,516 ",41.3% 
Householder not living alone,9 ,19.60%,"15,927 ",16.20%
Household Size ,,,,
1-person household,9,19.60%,"40,516 ",41.3% 
2-person household,11,23.90%,"31,738 ",32.4% 
3-person household,11,23.90%,"11,633 ",11.9% 
4-person household,10,21.70%,"8,793 ",9.0% 
5-person household,2,4.30%,"3,286 ",3.4% 
6-person household,2,4.30%,"1,203 ",1.2% 
7-or-more-person household,1,2.20%,881 ,0.90%
TOTAL HOUSING UNITS,46,100.00%,"105,404 ",100.00%
Occupied Housing Units,46,100.00%,"98,050 ",93.00%
Owner-Occupied,35,76.10%,"42,457 ",40.30%
Renter-Occupied,11,23.90%,"55,593 ",52.70%
Vacant Housing Units,0,0.00%,"7,354 ",7.00%
