Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Cherrydale,,,,
2010 Census (Summary File 1),Cherrydale,,Arlington ,
Cherrydale,Number,Percent,Number,Percent
TOTAL POPULATION,"3,169 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,932 ",92.50%,"176,245 ",84.90%
White alone,"2,472 ",78.00%,"132,961 ",64.00%
Black or African-American alone,152 ,4.80%,"17,088 ",8.20%
American Indian or Alaska Native alone,3 ,0.10%,394 ,0.20%
Asian alone,208 ,6.60%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.00%,133 ,0.10%
Some other Race alone,5 ,0.20%,611 ,0.30%
Two or more Races,91 ,2.90%,"5,296 ",2.60%
Total Hispanic or Latino,237 ,7.50%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,214 ,6.80%,"11,782 ",5.7% 
5 to 17 years,436 ,13.80%,"20,844 ",10.0% 
18 to 24 years,239 ,7.50%,"20,315 ",9.8% 
25 to 34 years,496 ,15.70%,"57,402 ",27.6% 
35 to 44 years,499 ,15.70%,"32,868 ",15.8% 
45 to 54 years,428 ,13.50%,"25,717 ",12.4% 
55 to 64 years,397 ,12.50%,"20,645 ",9.9% 
65 to 74 years,235 ,7.40%,"10,086 ",4.9% 
75 to 84 years,142 ,4.50%,"5,153 ",2.5% 
85 years and over,83 ,2.60%,"2,815 ",1.40%
Sex,,,,
Male,"1,590 ",50.20%,"103,501 ",49.80%
Female,"1,579 ",49.80%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,178 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,672 ,57.00%,"41,607 ",42.4% 
Husband-wife family,587 ,49.80%,"33,218 ",33.9% 
Other family:,85 ,7.20%,"8,389 ",8.6% 
"Male householder, no wife present",33 ,2.80%,"2,623 ",2.7% 
"Female householder, no husband present",52 ,4.40%,"5,766 ",5.9% 
Nonfamily households:,506 ,43.00%,"56,443 ",57.6% 
Householder living alone,321 ,27.20%,"40,516 ",41.3% 
Householder not living alone,185 ,15.70%,"15,927 ",16.20%
Household Size ,,,,
1-person household,321,27.20%,"40,516 ",41.3% 
2-person household,358,30.40%,"31,738 ",32.4% 
3-person household,195,16.60%,"11,633 ",11.9% 
4-person household,218,18.50%,"8,793 ",9.0% 
5-person household,61,5.20%,"3,286 ",3.4% 
6-person household,17,1.40%,"1,203 ",1.2% 
7-or-more-person household,8,0.70%,881 ,0.90%
TOTAL HOUSING UNITS,1225,100.00%,"105,404 ",100.00%
Occupied Housing Units,1178,96.20%,"98,050 ",93.00%
Owner-Occupied,834,68.10%,"42,457 ",40.30%
Renter-Occupied,344,28.10%,"55,593 ",52.70%
Vacant Housing Units,47,3.80%,"7,354 ",7.00%
