Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Claremont,,,,
2010 Census (Summary File 1),Claremont,,Arlington ,
Claremont,Number,Percent,Number,Percent
TOTAL POPULATION,"2,008 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,587 ",79.00%,"176,245 ",84.90%
White alone,"1,125 ",56.00%,"132,961 ",64.00%
Black or African-American alone,191 ,9.50%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.10%,394 ,0.20%
Asian alone,207 ,10.30%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.00%,133 ,0.10%
Some other Race alone,10 ,0.50%,611 ,0.30%
Two or more Races,51 ,2.50%,"5,296 ",2.60%
Total Hispanic or Latino,421 ,21.00%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,161 ,8.00%,"11,782 ",5.7% 
5 to 17 years,249 ,12.40%,"20,844 ",10.0% 
18 to 24 years,152 ,7.60%,"20,315 ",9.8% 
25 to 34 years,398 ,19.80%,"57,402 ",27.6% 
35 to 44 years,332 ,16.50%,"32,868 ",15.8% 
45 to 54 years,305 ,15.20%,"25,717 ",12.4% 
55 to 64 years,236 ,11.80%,"20,645 ",9.9% 
65 to 74 years,94 ,4.70%,"10,086 ",4.9% 
75 to 84 years,55 ,2.70%,"5,153 ",2.5% 
85 years and over,26 ,1.30%,"2,815 ",1.40%
Sex,,,,
Male,"1,023 ",50.90%,"103,501 ",49.80%
Female,985 ,49.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,746 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,459 ,61.50%,"41,607 ",42.4% 
Husband-wife family,369 ,49.50%,"33,218 ",33.9% 
Other family:,90 ,12.10%,"8,389 ",8.6% 
"Male householder, no wife present",29 ,3.90%,"2,623 ",2.7% 
"Female householder, no husband present",61 ,8.20%,"5,766 ",5.9% 
Nonfamily households:,287 ,38.50%,"56,443 ",57.6% 
Householder living alone,197 ,26.40%,"40,516 ",41.3% 
Householder not living alone,90 ,12.10%,"15,927 ",16.20%
Household Size ,,,,
1-person household,197,26.40%,"40,516 ",41.3% 
2-person household,223,29.90%,"31,738 ",32.4% 
3-person household,130,17.40%,"11,633 ",11.9% 
4-person household,101,13.50%,"8,793 ",9.0% 
5-person household,51,6.80%,"3,286 ",3.4% 
6-person household,21,2.80%,"1,203 ",1.2% 
7-or-more-person household,23,3.10%,881 ,0.90%
TOTAL HOUSING UNITS,769,100.00%,"105,404 ",100.00%
Occupied Housing Units,746,97.00%,"98,050 ",93.00%
Owner-Occupied,532,69.20%,"42,457 ",40.30%
Renter-Occupied,214,27.80%,"55,593 ",52.70%
Vacant Housing Units,23,3.00%,"7,354 ",7.00%
