Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Clarendon-Courthouse,,,,
2010 Census (Summary File 1),Clarendon-Courthouse,,Arlington ,
Clarendon-Courthouse,Number,Percent,Number,Percent
TOTAL POPULATION,"8,722 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"7,544 ",86.50%,"176,245 ",84.90%
White alone,"5,909 ",67.70%,"132,961 ",64.00%
Black or African-American alone,327 ,3.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,20 ,0.20%,394 ,0.20%
Asian alone,"1,041 ",11.90%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,2 ,0.00%,133 ,0.10%
Some other Race alone,23 ,0.30%,611 ,0.30%
Two or more Races,222 ,2.50%,"5,296 ",2.60%
Total Hispanic or Latino,"1,178 ",13.50%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,373 ,4.30%,"11,782 ",5.7% 
5 to 17 years,335 ,3.80%,"20,844 ",10.0% 
18 to 24 years,915 ,10.50%,"20,315 ",9.8% 
25 to 34 years,"4,163 ",47.70%,"57,402 ",27.6% 
35 to 44 years,"1,525 ",17.50%,"32,868 ",15.8% 
45 to 54 years,713 ,8.20%,"25,717 ",12.4% 
55 to 64 years,477 ,5.50%,"20,645 ",9.9% 
65 to 74 years,153 ,1.80%,"10,086 ",4.9% 
75 to 84 years,53 ,0.60%,"5,153 ",2.5% 
85 years and over,15 ,0.20%,"2,815 ",1.40%
Sex,,,,
Male,"4,446 ",51.00%,"103,501 ",49.80%
Female,"4,276 ",49.00%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"5,081 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,366 ",26.90%,"41,607 ",42.4% 
Husband-wife family,"1,111 ",21.90%,"33,218 ",33.9% 
Other family:,255 ,5.00%,"8,389 ",8.6% 
"Male householder, no wife present",91 ,1.80%,"2,623 ",2.7% 
"Female householder, no husband present",164 ,3.20%,"5,766 ",5.9% 
Nonfamily households:,"3,715 ",73.10%,"56,443 ",57.6% 
Householder living alone,"2,638 ",51.90%,"40,516 ",41.3% 
Householder not living alone,"1,077 ",21.20%,"15,927 ",16.20%
Household Size ,,,,
1-person household,2638,51.90%,"40,516 ",41.3% 
2-person household,1789,35.20%,"31,738 ",32.4% 
3-person household,357,7.00%,"11,633 ",11.9% 
4-person household,180,3.50%,"8,793 ",9.0% 
5-person household,72,1.40%,"3,286 ",3.4% 
6-person household,27,0.50%,"1,203 ",1.2% 
7-or-more-person household,18,0.40%,881 ,0.90%
TOTAL HOUSING UNITS,5403,100.00%,"105,404 ",100.00%
Occupied Housing Units,5081,94.00%,"98,050 ",93.00%
Owner-Occupied,1312,24.30%,"42,457 ",40.30%
Renter-Occupied,3769,69.80%,"55,593 ",52.70%
Vacant Housing Units,322,6.00%,"7,354 ",7.00%
