Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Colonial Village,,,,
2010 Census (Summary File 1),Colonial Village,,Arlington ,
Colonial Village,Number,Percent,Number,Percent
TOTAL POPULATION,"2,570 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,330 ",90.70%,"176,245 ",84.90%
White alone,"1,817 ",70.70%,"132,961 ",64.00%
Black or African-American alone,147 ,5.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.10%,394 ,0.20%
Asian alone,294 ,11.40%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,2 ,0.10%,133 ,0.10%
Some other Race alone,9 ,0.40%,611 ,0.30%
Two or more Races,59 ,2.30%,"5,296 ",2.60%
Total Hispanic or Latino,240 ,9.30%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,68 ,2.60%,"11,782 ",5.7% 
5 to 17 years,77 ,3.00%,"20,844 ",10.0% 
18 to 24 years,318 ,12.40%,"20,315 ",9.8% 
25 to 34 years,"1,170 ",45.50%,"57,402 ",27.6% 
35 to 44 years,416 ,16.20%,"32,868 ",15.8% 
45 to 54 years,220 ,8.60%,"25,717 ",12.4% 
55 to 64 years,166 ,6.50%,"20,645 ",9.9% 
65 to 74 years,92 ,3.60%,"10,086 ",4.9% 
75 to 84 years,33 ,1.30%,"5,153 ",2.5% 
85 years and over,10 ,0.40%,"2,815 ",1.40%
Sex,,,,
Male,"1,228 ",47.80%,"103,501 ",49.80%
Female,"1,342 ",52.20%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,621 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,348 ,21.50%,"41,607 ",42.4% 
Husband-wife family,261 ,16.10%,"33,218 ",33.9% 
Other family:,87 ,5.40%,"8,389 ",8.6% 
"Male householder, no wife present",30 ,1.90%,"2,623 ",2.7% 
"Female householder, no husband present",57 ,3.50%,"5,766 ",5.9% 
Nonfamily households:,"1,273 ",78.50%,"56,443 ",57.6% 
Householder living alone,888 ,54.80%,"40,516 ",41.3% 
Householder not living alone,385 ,23.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,888,54.80%,"40,516 ",41.3% 
2-person household,603,37.20%,"31,738 ",32.4% 
3-person household,76,4.70%,"11,633 ",11.9% 
4-person household,38,2.30%,"8,793 ",9.0% 
5-person household,8,0.50%,"3,286 ",3.4% 
6-person household,4,0.20%,"1,203 ",1.2% 
7-or-more-person household,4,0.20%,881 ,0.90%
TOTAL HOUSING UNITS,1700,100.00%,"105,404 ",100.00%
Occupied Housing Units,1621,95.40%,"98,050 ",93.00%
Owner-Occupied,533,31.40%,"42,457 ",40.30%
Renter-Occupied,1088,64.00%,"55,593 ",52.70%
Vacant Housing Units,79,4.60%,"7,354 ",7.00%
