Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Columbia Forest,,,,
2010 Census (Summary File 1),Columbia Forest,,Arlington ,
Columbia Forest,Number,Percent,Number,Percent
TOTAL POPULATION,"3,793 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,432 ",64.10%,"176,245 ",84.90%
White alone,"1,284 ",33.90%,"132,961 ",64.00%
Black or African-American alone,646 ,17.00%,"17,088 ",8.20%
American Indian or Alaska Native alone,15 ,0.40%,394 ,0.20%
Asian alone,394 ,10.40%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,11 ,0.30%,611 ,0.30%
Two or more Races,82 ,2.20%,"5,296 ",2.60%
Total Hispanic or Latino,"1,361 ",35.90%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,281 ,7.40%,"11,782 ",5.7% 
5 to 17 years,414 ,10.90%,"20,844 ",10.0% 
18 to 24 years,403 ,10.60%,"20,315 ",9.8% 
25 to 34 years,956 ,25.20%,"57,402 ",27.6% 
35 to 44 years,657 ,17.30%,"32,868 ",15.8% 
45 to 54 years,490 ,12.90%,"25,717 ",12.4% 
55 to 64 years,337 ,8.90%,"20,645 ",9.9% 
65 to 74 years,157 ,4.10%,"10,086 ",4.9% 
75 to 84 years,65 ,1.70%,"5,153 ",2.5% 
85 years and over,33 ,0.90%,"2,815 ",1.40%
Sex,,,,
Male,"1,935 ",51.00%,"103,501 ",49.80%
Female,"1,858 ",49.00%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,603 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,830 ,51.80%,"41,607 ",42.4% 
Husband-wife family,565 ,35.20%,"33,218 ",33.9% 
Other family:,265 ,16.50%,"8,389 ",8.6% 
"Male householder, no wife present",97 ,6.10%,"2,623 ",2.7% 
"Female householder, no husband present",168 ,10.50%,"5,766 ",5.9% 
Nonfamily households:,773 ,48.20%,"56,443 ",57.6% 
Householder living alone,556 ,34.70%,"40,516 ",41.3% 
Householder not living alone,217 ,13.50%,"15,927 ",16.20%
Household Size ,,,,
1-person household,556,34.70%,"40,516 ",41.3% 
2-person household,508,31.70%,"31,738 ",32.4% 
3-person household,230,14.30%,"11,633 ",11.9% 
4-person household,149,9.30%,"8,793 ",9.0% 
5-person household,83,5.20%,"3,286 ",3.4% 
6-person household,45,2.80%,"1,203 ",1.2% 
7-or-more-person household,32,2.00%,881 ,0.90%
TOTAL HOUSING UNITS,1776,100.00%,"105,404 ",100.00%
Occupied Housing Units,1603,90.30%,"98,050 ",93.00%
Owner-Occupied,568,32.00%,"42,457 ",40.30%
Renter-Occupied,1035,58.30%,"55,593 ",52.70%
Vacant Housing Units,173,9.70%,"7,354 ",7.00%
