Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Columbia Heights West,,,,
2010 Census (Summary File 1),Columbia Heights West,,Arlington ,
Columbia Heights West,Number,Percent,Number,Percent
TOTAL POPULATION,"7,398 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"3,413 ",46.10%,"176,245 ",84.90%
White alone,"1,220 ",16.50%,"132,961 ",64.00%
Black or African-American alone,"1,119 ",15.10%,"17,088 ",8.20%
American Indian or Alaska Native alone,25 ,0.30%,394 ,0.20%
Asian alone,854 ,11.50%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,3 ,0.00%,133 ,0.10%
Some other Race alone,40 ,0.50%,611 ,0.30%
Two or more Races,152 ,2.10%,"5,296 ",2.60%
Total Hispanic or Latino,"3,985 ",53.90%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,640 ,8.70%,"11,782 ",5.7% 
5 to 17 years,"1,296 ",17.50%,"20,844 ",10.0% 
18 to 24 years,710 ,9.60%,"20,315 ",9.8% 
25 to 34 years,"1,563 ",21.10%,"57,402 ",27.6% 
35 to 44 years,"1,276 ",17.20%,"32,868 ",15.8% 
45 to 54 years,960 ,13.00%,"25,717 ",12.4% 
55 to 64 years,567 ,7.70%,"20,645 ",9.9% 
65 to 74 years,262 ,3.50%,"10,086 ",4.9% 
75 to 84 years,93 ,1.30%,"5,153 ",2.5% 
85 years and over,31 ,0.40%,"2,815 ",1.40%
Sex,,,,
Male,"3,683 ",49.80%,"103,501 ",49.80%
Female,"3,715 ",50.20%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"2,551 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,570 ",61.50%,"41,607 ",42.4% 
Husband-wife family,947 ,37.10%,"33,218 ",33.9% 
Other family:,623 ,24.40%,"8,389 ",8.6% 
"Male householder, no wife present",165 ,6.50%,"2,623 ",2.7% 
"Female householder, no husband present",458 ,18.00%,"5,766 ",5.9% 
Nonfamily households:,981 ,38.50%,"56,443 ",57.6% 
Householder living alone,735 ,28.80%,"40,516 ",41.3% 
Householder not living alone,246 ,9.60%,"15,927 ",16.20%
Household Size ,,,,
1-person household,735,28.80%,"40,516 ",41.3% 
2-person household,546,21.40%,"31,738 ",32.4% 
3-person household,400,15.70%,"11,633 ",11.9% 
4-person household,389,15.20%,"8,793 ",9.0% 
5-person household,245,9.60%,"3,286 ",3.4% 
6-person household,131,5.10%,"1,203 ",1.2% 
7-or-more-person household,105,4.10%,881 ,0.90%
TOTAL HOUSING UNITS,2638,100.00%,"105,404 ",100.00%
Occupied Housing Units,2551,96.70%,"98,050 ",93.00%
Owner-Occupied,884,33.50%,"42,457 ",40.30%
Renter-Occupied,1667,63.20%,"55,593 ",52.70%
Vacant Housing Units,87,3.30%,"7,354 ",7.00%
