Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Columbia Heights,,,,
2010 Census (Summary File 1),Columbia Heights,,Arlington ,
Columbia Heights,Number,Percent,Number,Percent
TOTAL POPULATION,"4,985 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"4,256 ",85.40%,"176,245 ",84.90%
White alone,"2,474 ",49.60%,"132,961 ",64.00%
Black or African-American alone,795 ,15.90%,"17,088 ",8.20%
American Indian or Alaska Native alone,19 ,0.40%,394 ,0.20%
Asian alone,808 ,16.20%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.00%,133 ,0.10%
Some other Race alone,17 ,0.30%,611 ,0.30%
Two or more Races,142 ,2.80%,"5,296 ",2.60%
Total Hispanic or Latino,729 ,14.60%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,287 ,5.80%,"11,782 ",5.7% 
5 to 17 years,315 ,6.30%,"20,844 ",10.0% 
18 to 24 years,487 ,9.80%,"20,315 ",9.8% 
25 to 34 years,"1,695 ",34.00%,"57,402 ",27.6% 
35 to 44 years,872 ,17.50%,"32,868 ",15.8% 
45 to 54 years,596 ,12.00%,"25,717 ",12.4% 
55 to 64 years,440 ,8.80%,"20,645 ",9.9% 
65 to 74 years,172 ,3.50%,"10,086 ",4.9% 
75 to 84 years,90 ,1.80%,"5,153 ",2.5% 
85 years and over,31 ,0.60%,"2,815 ",1.40%
Sex,,,,
Male,"2,405 ",48.20%,"103,501 ",49.80%
Female,"2,580 ",51.80%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"2,842 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,877 ,30.90%,"41,607 ",42.4% 
Husband-wife family,639 ,22.50%,"33,218 ",33.9% 
Other family:,238 ,8.40%,"8,389 ",8.6% 
"Male householder, no wife present",72 ,2.50%,"2,623 ",2.7% 
"Female householder, no husband present",166 ,5.80%,"5,766 ",5.9% 
Nonfamily households:,"1,965 ",69.10%,"56,443 ",57.6% 
Householder living alone,"1,544 ",54.30%,"40,516 ",41.3% 
Householder not living alone,421 ,14.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,1544,54.30%,"40,516 ",41.3% 
2-person household,806,28.40%,"31,738 ",32.4% 
3-person household,263,9.30%,"11,633 ",11.9% 
4-person household,154,5.40%,"8,793 ",9.0% 
5-person household,50,1.80%,"3,286 ",3.4% 
6-person household,11,0.40%,"1,203 ",1.2% 
7-or-more-person household,14,0.50%,881 ,0.90%
TOTAL HOUSING UNITS,2994,100.00%,"105,404 ",100.00%
Occupied Housing Units,2842,94.90%,"98,050 ",93.00%
Owner-Occupied,673,22.50%,"42,457 ",40.30%
Renter-Occupied,2169,72.40%,"55,593 ",52.70%
Vacant Housing Units,152,5.10%,"7,354 ",7.00%
