Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Dominion Hills,,,,
2010 Census (Summary File 1),Dominion Hills,,Arlington ,
Dominion Hills,Number,Percent,Number,Percent
TOTAL POPULATION,"1,695 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,550 ",91.40%,"176,245 ",84.90%
White alone,"1,362 ",80.40%,"132,961 ",64.00%
Black or African-American alone,21 ,1.20%,"17,088 ",8.20%
American Indian or Alaska Native alone,- ,0.00%,394 ,0.20%
Asian alone,116 ,6.80%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,7 ,0.40%,611 ,0.30%
Two or more Races,44 ,2.60%,"5,296 ",2.60%
Total Hispanic or Latino,145 ,8.60%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,134 ,7.90%,"11,782 ",5.7% 
5 to 17 years,330 ,19.50%,"20,844 ",10.0% 
18 to 24 years,83 ,4.90%,"20,315 ",9.8% 
25 to 34 years,198 ,11.70%,"57,402 ",27.6% 
35 to 44 years,295 ,17.40%,"32,868 ",15.8% 
45 to 54 years,275 ,16.20%,"25,717 ",12.4% 
55 to 64 years,212 ,12.50%,"20,645 ",9.9% 
65 to 74 years,85 ,5.00%,"10,086 ",4.9% 
75 to 84 years,46 ,2.70%,"5,153 ",2.5% 
85 years and over,37 ,2.20%,"2,815 ",1.40%
Sex,,,,
Male,901 ,53.20%,"103,501 ",49.80%
Female,794 ,46.80%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,599 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,433 ,72.30%,"41,607 ",42.4% 
Husband-wife family,375 ,62.60%,"33,218 ",33.9% 
Other family:,58 ,9.70%,"8,389 ",8.6% 
"Male householder, no wife present",22 ,3.70%,"2,623 ",2.7% 
"Female householder, no husband present",36 ,6.00%,"5,766 ",5.9% 
Nonfamily households:,166 ,27.70%,"56,443 ",57.6% 
Householder living alone,112 ,18.70%,"40,516 ",41.3% 
Householder not living alone,54 ,9.00%,"15,927 ",16.20%
Household Size ,,,,
1-person household,112,18.70%,"40,516 ",41.3% 
2-person household,171,28.50%,"31,738 ",32.4% 
3-person household,116,19.40%,"11,633 ",11.9% 
4-person household,136,22.70%,"8,793 ",9.0% 
5-person household,47,7.80%,"3,286 ",3.4% 
6-person household,11,1.80%,"1,203 ",1.2% 
7-or-more-person household,6,1.00%,881 ,0.90%
TOTAL HOUSING UNITS,613,100.00%,"105,404 ",100.00%
Occupied Housing Units,599,97.70%,"98,050 ",93.00%
Owner-Occupied,517,84.30%,"42,457 ",40.30%
Renter-Occupied,82,13.40%,"55,593 ",52.70%
Vacant Housing Units,14,2.30%,"7,354 ",7.00%
