Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Douglas Park,,,,
2010 Census (Summary File 1),Douglas Park,,Arlington ,
Douglas Park,Number,Percent,Number,Percent
TOTAL POPULATION,"9,365 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"6,077 ",64.90%,"176,245 ",84.90%
White alone,"3,053 ",32.60%,"132,961 ",64.00%
Black or African-American alone,"1,578 ",16.80%,"17,088 ",8.20%
American Indian or Alaska Native alone,11 ,0.10%,394 ,0.20%
Asian alone,"1,171 ",12.50%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,6 ,0.10%,133 ,0.10%
Some other Race alone,33 ,0.40%,611 ,0.30%
Two or more Races,225 ,2.40%,"5,296 ",2.60%
Total Hispanic or Latino,"3,288 ",35.10%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,633 ,6.80%,"11,782 ",5.7% 
5 to 17 years,"1,251 ",13.40%,"20,844 ",10.0% 
18 to 24 years,830 ,8.90%,"20,315 ",9.8% 
25 to 34 years,"2,306 ",24.60%,"57,402 ",27.6% 
35 to 44 years,"1,749 ",18.70%,"32,868 ",15.8% 
45 to 54 years,"1,297 ",13.80%,"25,717 ",12.4% 
55 to 64 years,762 ,8.10%,"20,645 ",9.9% 
65 to 74 years,341 ,3.60%,"10,086 ",4.9% 
75 to 84 years,143 ,1.50%,"5,153 ",2.5% 
85 years and over,53 ,0.60%,"2,815 ",1.40%
Sex,,,,
Male,"4,788 ",51.10%,"103,501 ",49.80%
Female,"4,577 ",48.90%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"3,689 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"2,074 ",56.20%,"41,607 ",42.4% 
Husband-wife family,"1,477 ",40.00%,"33,218 ",33.9% 
Other family:,597 ,16.20%,"8,389 ",8.6% 
"Male householder, no wife present",193 ,5.20%,"2,623 ",2.7% 
"Female householder, no husband present",404 ,11.00%,"5,766 ",5.9% 
Nonfamily households:,"1,615 ",43.80%,"56,443 ",57.6% 
Householder living alone,"1,171 ",31.70%,"40,516 ",41.3% 
Householder not living alone,444 ,12.00%,"15,927 ",16.20%
Household Size ,,,,
1-person household,1171,31.70%,"40,516 ",41.3% 
2-person household,1083,29.40%,"31,738 ",32.4% 
3-person household,541,14.70%,"11,633 ",11.9% 
4-person household,473,12.80%,"8,793 ",9.0% 
5-person household,223,6.00%,"3,286 ",3.4% 
6-person household,105,2.80%,"1,203 ",1.2% 
7-or-more-person household,93,2.50%,881 ,0.90%
TOTAL HOUSING UNITS,3987,100.00%,"105,404 ",100.00%
Occupied Housing Units,3689,92.50%,"98,050 ",93.00%
Owner-Occupied,1281,32.10%,"42,457 ",40.30%
Renter-Occupied,2408,60.40%,"55,593 ",52.70%
Vacant Housing Units,298,7.50%,"7,354 ",7.00%
