Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Dover Crystal,,,,
2010 Census (Summary File 1),Dover Crystal,,Arlington ,
Dover Crystal,Number,Percent,Number,Percent
TOTAL POPULATION,"1,367 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,290 ",94.40%,"176,245 ",84.90%
White alone,"1,180 ",86.30%,"132,961 ",64.00%
Black or African-American alone,10 ,0.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.10%,394 ,0.20%
Asian alone,64 ,4.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,- ,0.00%,611 ,0.30%
Two or more Races,35 ,2.60%,"5,296 ",2.60%
Total Hispanic or Latino,77 ,5.60%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,97 ,7.10%,"11,782 ",5.7% 
5 to 17 years,260 ,19.00%,"20,844 ",10.0% 
18 to 24 years,52 ,3.80%,"20,315 ",9.8% 
25 to 34 years,69 ,5.00%,"57,402 ",27.6% 
35 to 44 years,168 ,12.30%,"32,868 ",15.8% 
45 to 54 years,236 ,17.30%,"25,717 ",12.4% 
55 to 64 years,233 ,17.00%,"20,645 ",9.9% 
65 to 74 years,139 ,10.20%,"10,086 ",4.9% 
75 to 84 years,71 ,5.20%,"5,153 ",2.5% 
85 years and over,42 ,3.10%,"2,815 ",1.40%
Sex,,,,
Male,676 ,49.50%,"103,501 ",49.80%
Female,691 ,50.50%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,508 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,399 ,78.50%,"41,607 ",42.4% 
Husband-wife family,364 ,71.70%,"33,218 ",33.9% 
Other family:,35 ,6.90%,"8,389 ",8.6% 
"Male householder, no wife present",8 ,1.60%,"2,623 ",2.7% 
"Female householder, no husband present",27 ,5.30%,"5,766 ",5.9% 
Nonfamily households:,109 ,21.50%,"56,443 ",57.6% 
Householder living alone,87 ,17.10%,"40,516 ",41.3% 
Householder not living alone,22 ,4.30%,"15,927 ",16.20%
Household Size ,,,,
1-person household,87,17.10%,"40,516 ",41.3% 
2-person household,198,39.00%,"31,738 ",32.4% 
3-person household,81,15.90%,"11,633 ",11.9% 
4-person household,95,18.70%,"8,793 ",9.0% 
5-person household,30,5.90%,"3,286 ",3.4% 
6-person household,11,2.20%,"1,203 ",1.2% 
7-or-more-person household,6,1.20%,881 ,0.90%
TOTAL HOUSING UNITS,526,100.00%,"105,404 ",100.00%
Occupied Housing Units,508,96.60%,"98,050 ",93.00%
Owner-Occupied,475,90.30%,"42,457 ",40.30%
Renter-Occupied,33,6.30%,"55,593 ",52.70%
Vacant Housing Units,18,3.40%,"7,354 ",7.00%
