Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 East Falls Church,,,,
2010 Census (Summary File 1),East Falls Church,,Arlington ,
East Falls Church,Number,Percent,Number,Percent
TOTAL POPULATION,"4,966 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"4,672 ",94.10%,"176,245 ",84.90%
White alone,"4,099 ",82.50%,"132,961 ",64.00%
Black or African-American alone,79 ,1.60%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.00%,394 ,0.20%
Asian alone,345 ,6.90%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.00%,133 ,0.10%
Some other Race alone,14 ,0.30%,611 ,0.30%
Two or more Races,133 ,2.70%,"5,296 ",2.60%
Total Hispanic or Latino,294 ,5.90%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,368 ,7.40%,"11,782 ",5.7% 
5 to 17 years,788 ,15.90%,"20,844 ",10.0% 
18 to 24 years,341 ,6.90%,"20,315 ",9.8% 
25 to 34 years,889 ,17.90%,"57,402 ",27.6% 
35 to 44 years,773 ,15.60%,"32,868 ",15.8% 
45 to 54 years,710 ,14.30%,"25,717 ",12.4% 
55 to 64 years,613 ,12.30%,"20,645 ",9.9% 
65 to 74 years,279 ,5.60%,"10,086 ",4.9% 
75 to 84 years,102 ,2.10%,"5,153 ",2.5% 
85 years and over,103 ,2.10%,"2,815 ",1.40%
Sex,,,,
Male,"2,446 ",49.30%,"103,501 ",49.80%
Female,"2,520 ",50.70%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,890 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,211 ",64.10%,"41,607 ",42.4% 
Husband-wife family,"1,037 ",54.90%,"33,218 ",33.9% 
Other family:,174 ,9.20%,"8,389 ",8.6% 
"Male householder, no wife present",52 ,2.80%,"2,623 ",2.7% 
"Female householder, no husband present",122 ,6.50%,"5,766 ",5.9% 
Nonfamily households:,679 ,35.90%,"56,443 ",57.6% 
Householder living alone,424 ,22.40%,"40,516 ",41.3% 
Householder not living alone,255 ,13.50%,"15,927 ",16.20%
Household Size ,,,,
1-person household,424,22.40%,"40,516 ",41.3% 
2-person household,617,32.60%,"31,738 ",32.4% 
3-person household,346,18.30%,"11,633 ",11.9% 
4-person household,343,18.10%,"8,793 ",9.0% 
5-person household,114,6.00%,"3,286 ",3.4% 
6-person household,28,1.50%,"1,203 ",1.2% 
7-or-more-person household,18,1.00%,881 ,0.90%
TOTAL HOUSING UNITS,1953,100.00%,"105,404 ",100.00%
Occupied Housing Units,1890,96.80%,"98,050 ",93.00%
Owner-Occupied,1488,76.20%,"42,457 ",40.30%
Renter-Occupied,402,20.60%,"55,593 ",52.70%
Vacant Housing Units,63,3.20%,"7,354 ",7.00%
