Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Fairlington,,,,
2010 Census (Summary File 1),Fairlington,,Arlington ,
Fairlington,Number,Percent,Number,Percent
TOTAL POPULATION,"8,137 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"7,245 ",89.00%,"176,245 ",84.90%
White alone,"6,211 ",76.30%,"132,961 ",64.00%
Black or African-American alone,410 ,5.00%,"17,088 ",8.20%
American Indian or Alaska Native alone,9 ,0.10%,394 ,0.20%
Asian alone,398 ,4.90%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,3 ,0.00%,133 ,0.10%
Some other Race alone,20 ,0.20%,611 ,0.30%
Two or more Races,194 ,2.40%,"5,296 ",2.60%
Total Hispanic or Latino,892 ,11.00%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,600 ,7.40%,"11,782 ",5.7% 
5 to 17 years,468 ,5.80%,"20,844 ",10.0% 
18 to 24 years,369 ,4.50%,"20,315 ",9.8% 
25 to 34 years,"2,628 ",32.30%,"57,402 ",27.6% 
35 to 44 years,"1,617 ",19.90%,"32,868 ",15.8% 
45 to 54 years,952 ,11.70%,"25,717 ",12.4% 
55 to 64 years,963 ,11.80%,"20,645 ",9.9% 
65 to 74 years,369 ,4.50%,"10,086 ",4.9% 
75 to 84 years,136 ,1.70%,"5,153 ",2.5% 
85 years and over,35 ,0.40%,"2,815 ",1.40%
Sex,,,,
Male,"3,637 ",44.70%,"103,501 ",49.80%
Female,"4,500 ",55.30%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"4,574 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,719 ",37.60%,"41,607 ",42.4% 
Husband-wife family,"1,390 ",30.40%,"33,218 ",33.9% 
Other family:,329 ,7.20%,"8,389 ",8.6% 
"Male householder, no wife present",86 ,1.90%,"2,623 ",2.7% 
"Female householder, no husband present",243 ,5.30%,"5,766 ",5.9% 
Nonfamily households:,"2,855 ",62.40%,"56,443 ",57.6% 
Householder living alone,"2,276 ",49.80%,"40,516 ",41.3% 
Householder not living alone,579 ,12.70%,"15,927 ",16.20%
Household Size ,,,,
1-person household,2276,49.80%,"40,516 ",41.3% 
2-person household,1482,32.40%,"31,738 ",32.4% 
3-person household,495,10.80%,"11,633 ",11.9% 
4-person household,242,5.30%,"8,793 ",9.0% 
5-person household,51,1.10%,"3,286 ",3.4% 
6-person household,14,0.30%,"1,203 ",1.2% 
7-or-more-person household,14,0.30%,881 ,0.90%
TOTAL HOUSING UNITS,4766,100.00%,"105,404 ",100.00%
Occupied Housing Units,4574,96.00%,"98,050 ",93.00%
Owner-Occupied,2732,57.30%,"42,457 ",40.30%
Renter-Occupied,1842,38.60%,"55,593 ",52.70%
Vacant Housing Units,192,4.00%,"7,354 ",7.00%
