Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Forest Glen,,,,
2010 Census (Summary File 1),Forest Glen,,Arlington ,
Forest Glen,Number,Percent,Number,Percent
TOTAL POPULATION,924 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,649 ,70.20%,"176,245 ",84.90%
White alone,444 ,48.10%,"132,961 ",64.00%
Black or African-American alone,74 ,8.00%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.10%,394 ,0.20%
Asian alone,107 ,11.60%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,8 ,0.90%,611 ,0.30%
Two or more Races,15 ,1.60%,"5,296 ",2.60%
Total Hispanic or Latino,275 ,29.80%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,41 ,4.40%,"11,782 ",5.7% 
5 to 17 years,122 ,13.20%,"20,844 ",10.0% 
18 to 24 years,89 ,9.60%,"20,315 ",9.8% 
25 to 34 years,197 ,21.30%,"57,402 ",27.6% 
35 to 44 years,156 ,16.90%,"32,868 ",15.8% 
45 to 54 years,151 ,16.30%,"25,717 ",12.4% 
55 to 64 years,92 ,10.00%,"20,645 ",9.9% 
65 to 74 years,54 ,5.80%,"10,086 ",4.9% 
75 to 84 years,14 ,1.50%,"5,153 ",2.5% 
85 years and over,8 ,0.90%,"2,815 ",1.40%
Sex,,,,
Male,456 ,49.40%,"103,501 ",49.80%
Female,468 ,50.60%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,402 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,180 ,44.80%,"41,607 ",42.4% 
Husband-wife family,122 ,30.30%,"33,218 ",33.9% 
Other family:,58 ,14.40%,"8,389 ",8.6% 
"Male householder, no wife present",18 ,4.50%,"2,623 ",2.7% 
"Female householder, no husband present",40 ,10.00%,"5,766 ",5.9% 
Nonfamily households:,222 ,55.20%,"56,443 ",57.6% 
Householder living alone,159 ,39.60%,"40,516 ",41.3% 
Householder not living alone,63 ,15.70%,"15,927 ",16.20%
Household Size ,,,,
1-person household,159,39.60%,"40,516 ",41.3% 
2-person household,111,27.60%,"31,738 ",32.4% 
3-person household,58,14.40%,"11,633 ",11.9% 
4-person household,35,8.70%,"8,793 ",9.0% 
5-person household,25,6.20%,"3,286 ",3.4% 
6-person household,6,1.50%,"1,203 ",1.2% 
7-or-more-person household,8,2.00%,881 ,0.90%
TOTAL HOUSING UNITS,420,100.00%,"105,404 ",100.00%
Occupied Housing Units,402,95.70%,"98,050 ",93.00%
Owner-Occupied,291,69.30%,"42,457 ",40.30%
Renter-Occupied,111,26.40%,"55,593 ",52.70%
Vacant Housing Units,18,4.30%,"7,354 ",7.00%
