Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Foxcroft Heights,,,,
2010 Census (Summary File 1),Foxcroft Heights,,Arlington ,
Foxcroft Heights,Number,Percent,Number,Percent
TOTAL POPULATION,357 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,260 ,72.80%,"176,245 ",84.90%
White alone,112 ,31.40%,"132,961 ",64.00%
Black or African-American alone,90 ,25.20%,"17,088 ",8.20%
American Indian or Alaska Native alone,- ,0.00%,394 ,0.20%
Asian alone,49 ,13.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,- ,0.00%,611 ,0.30%
Two or more Races,9 ,2.50%,"5,296 ",2.60%
Total Hispanic or Latino,97 ,27.20%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,27 ,7.60%,"11,782 ",5.7% 
5 to 17 years,47 ,13.20%,"20,844 ",10.0% 
18 to 24 years,40 ,11.20%,"20,315 ",9.8% 
25 to 34 years,91 ,25.50%,"57,402 ",27.6% 
35 to 44 years,54 ,15.10%,"32,868 ",15.8% 
45 to 54 years,43 ,12.00%,"25,717 ",12.4% 
55 to 64 years,36 ,10.10%,"20,645 ",9.9% 
65 to 74 years,16 ,4.50%,"10,086 ",4.9% 
75 to 84 years,3 ,0.80%,"5,153 ",2.5% 
85 years and over,- ,0.00%,"2,815 ",1.40%
Sex,,,,
Male,194 ,54.30%,"103,501 ",49.80%
Female,163 ,45.70%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,121 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,59 ,48.80%,"41,607 ",42.4% 
Husband-wife family,34 ,28.10%,"33,218 ",33.9% 
Other family:,25 ,20.70%,"8,389 ",8.6% 
"Male householder, no wife present",8 ,6.60%,"2,623 ",2.7% 
"Female householder, no husband present",17 ,14.00%,"5,766 ",5.9% 
Nonfamily households:,62 ,51.20%,"56,443 ",57.6% 
Householder living alone,41 ,33.90%,"40,516 ",41.3% 
Householder not living alone,21 ,17.40%,"15,927 ",16.20%
Household Size ,,,,
1-person household,41,33.90%,"40,516 ",41.3% 
2-person household,25,20.70%,"31,738 ",32.4% 
3-person household,27,22.30%,"11,633 ",11.9% 
4-person household,7,5.80%,"8,793 ",9.0% 
5-person household,9,7.40%,"3,286 ",3.4% 
6-person household,6,5.00%,"1,203 ",1.2% 
7-or-more-person household,6,5.00%,881 ,0.90%
TOTAL HOUSING UNITS,127,100.00%,"105,404 ",100.00%
Occupied Housing Units,121,95.30%,"98,050 ",93.00%
Owner-Occupied,44,34.60%,"42,457 ",40.30%
Renter-Occupied,77,60.60%,"55,593 ",52.70%
Vacant Housing Units,6,4.70%,"7,354 ",7.00%
