Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Glencarlyn,,,,
2010 Census (Summary File 1),Glencarlyn,,Arlington ,
Glencarlyn,Number,Percent,Number,Percent
TOTAL POPULATION,"1,841 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,601 ",87.00%,"176,245 ",84.90%
White alone,"1,034 ",56.20%,"132,961 ",64.00%
Black or African-American alone,117 ,6.40%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.10%,394 ,0.20%
Asian alone,376 ,20.40%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.10%,133 ,0.10%
Some other Race alone,4 ,0.20%,611 ,0.30%
Two or more Races,67 ,3.60%,"5,296 ",2.60%
Total Hispanic or Latino,240 ,13.00%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,89 ,4.80%,"11,782 ",5.7% 
5 to 17 years,212 ,11.50%,"20,844 ",10.0% 
18 to 24 years,91 ,4.90%,"20,315 ",9.8% 
25 to 34 years,189 ,10.30%,"57,402 ",27.6% 
35 to 44 years,195 ,10.60%,"32,868 ",15.8% 
45 to 54 years,262 ,14.20%,"25,717 ",12.4% 
55 to 64 years,284 ,15.40%,"20,645 ",9.9% 
65 to 74 years,242 ,13.10%,"10,086 ",4.9% 
75 to 84 years,176 ,9.60%,"5,153 ",2.5% 
85 years and over,101 ,5.50%,"2,815 ",1.40%
Sex,,,,
Male,876 ,47.60%,"103,501 ",49.80%
Female,965 ,52.40%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,731 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,409 ,56.00%,"41,607 ",42.4% 
Husband-wife family,345 ,47.20%,"33,218 ",33.9% 
Other family:,64 ,8.80%,"8,389 ",8.6% 
"Male householder, no wife present",21 ,2.90%,"2,623 ",2.7% 
"Female householder, no husband present",43 ,5.90%,"5,766 ",5.9% 
Nonfamily households:,322 ,44.00%,"56,443 ",57.6% 
Householder living alone,275 ,37.60%,"40,516 ",41.3% 
Householder not living alone,47 ,6.40%,"15,927 ",16.20%
Household Size ,,,,
1-person household,275,37.60%,"40,516 ",41.3% 
2-person household,216,29.50%,"31,738 ",32.4% 
3-person household,90,12.30%,"11,633 ",11.9% 
4-person household,91,12.40%,"8,793 ",9.0% 
5-person household,36,4.90%,"3,286 ",3.4% 
6-person household,13,1.80%,"1,203 ",1.2% 
7-or-more-person household,10,1.40%,881 ,0.90%
TOTAL HOUSING UNITS,760,100.00%,"105,404 ",100.00%
Occupied Housing Units,731,96.20%,"98,050 ",93.00%
Owner-Occupied,433,57.00%,"42,457 ",40.30%
Renter-Occupied,298,39.20%,"55,593 ",52.70%
Vacant Housing Units,29,3.80%,"7,354 ",7.00%
