Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Gulf Branch,,,,
2010 Census (Summary File 1),Gulf Branch,,Arlington ,
Gulf Branch,Number,Percent,Number,Percent
TOTAL POPULATION,919 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,880 ,95.80%,"176,245 ",84.90%
White alone,810 ,88.10%,"132,961 ",64.00%
Black or African-American alone,16 ,1.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.10%,394 ,0.20%
Asian alone,25 ,2.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,7 ,0.80%,611 ,0.30%
Two or more Races,21 ,2.30%,"5,296 ",2.60%
Total Hispanic or Latino,39 ,4.20%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,58 ,6.30%,"11,782 ",5.7% 
5 to 17 years,202 ,22.00%,"20,844 ",10.0% 
18 to 24 years,33 ,3.60%,"20,315 ",9.8% 
25 to 34 years,44 ,4.80%,"57,402 ",27.6% 
35 to 44 years,127 ,13.80%,"32,868 ",15.8% 
45 to 54 years,167 ,18.20%,"25,717 ",12.4% 
55 to 64 years,164 ,17.80%,"20,645 ",9.9% 
65 to 74 years,70 ,7.60%,"10,086 ",4.9% 
75 to 84 years,39 ,4.20%,"5,153 ",2.5% 
85 years and over,15 ,1.60%,"2,815 ",1.40%
Sex,,,,
Male,459 ,49.90%,"103,501 ",49.80%
Female,460 ,50.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,334 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,266 ,79.60%,"41,607 ",42.4% 
Husband-wife family,239 ,71.60%,"33,218 ",33.9% 
Other family:,27 ,8.10%,"8,389 ",8.6% 
"Male householder, no wife present",8 ,2.40%,"2,623 ",2.7% 
"Female householder, no husband present",19 ,5.70%,"5,766 ",5.9% 
Nonfamily households:,68 ,20.40%,"56,443 ",57.6% 
Householder living alone,57 ,17.10%,"40,516 ",41.3% 
Householder not living alone,11 ,3.30%,"15,927 ",16.20%
Household Size ,,,,
1-person household,57,17.10%,"40,516 ",41.3% 
2-person household,120,35.90%,"31,738 ",32.4% 
3-person household,54,16.20%,"11,633 ",11.9% 
4-person household,65,19.50%,"8,793 ",9.0% 
5-person household,29,8.70%,"3,286 ",3.4% 
6-person household,8,2.40%,"1,203 ",1.2% 
7-or-more-person household,1,0.30%,881 ,0.90%
TOTAL HOUSING UNITS,349,100.00%,"105,404 ",100.00%
Occupied Housing Units,334,95.70%,"98,050 ",93.00%
Owner-Occupied,301,86.20%,"42,457 ",40.30%
Renter-Occupied,33,9.50%,"55,593 ",52.70%
Vacant Housing Units,15,4.30%,"7,354 ",7.00%
