Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Highland Park - Overlee Knolls,,,,
2010 Census (Summary File 1),Highland Park - Overlee Knolls,,Arlington ,
Highland Park - Overlee Knolls,Number,Percent,Number,Percent
TOTAL POPULATION,"1,692 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,613 ",95.30%,"176,245 ",84.90%
White alone,"1,442 ",85.20%,"132,961 ",64.00%
Black or African-American alone,20 ,1.20%,"17,088 ",8.20%
American Indian or Alaska Native alone,- ,0.00%,394 ,0.20%
Asian alone,90 ,5.30%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,2 ,0.10%,133 ,0.10%
Some other Race alone,4 ,0.20%,611 ,0.30%
Two or more Races,55 ,3.30%,"5,296 ",2.60%
Total Hispanic or Latino,79 ,4.70%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,126 ,7.40%,"11,782 ",5.7% 
5 to 17 years,324 ,19.10%,"20,844 ",10.0% 
18 to 24 years,80 ,4.70%,"20,315 ",9.8% 
25 to 34 years,191 ,11.30%,"57,402 ",27.6% 
35 to 44 years,298 ,17.60%,"32,868 ",15.8% 
45 to 54 years,276 ,16.30%,"25,717 ",12.4% 
55 to 64 years,225 ,13.30%,"20,645 ",9.9% 
65 to 74 years,115 ,6.80%,"10,086 ",4.9% 
75 to 84 years,33 ,2.00%,"5,153 ",2.5% 
85 years and over,24 ,1.40%,"2,815 ",1.40%
Sex,,,,
Male,862 ,50.90%,"103,501 ",49.80%
Female,830 ,49.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,607 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,441 ,72.70%,"41,607 ",42.4% 
Husband-wife family,385 ,63.40%,"33,218 ",33.9% 
Other family:,56 ,9.20%,"8,389 ",8.6% 
"Male householder, no wife present",17 ,2.80%,"2,623 ",2.7% 
"Female householder, no husband present",39 ,6.40%,"5,766 ",5.9% 
Nonfamily households:,166 ,27.30%,"56,443 ",57.6% 
Householder living alone,105 ,17.30%,"40,516 ",41.3% 
Householder not living alone,61 ,10.00%,"15,927 ",16.20%
Household Size ,,,,
1-person household,105,17.30%,"40,516 ",41.3% 
2-person household,196,32.30%,"31,738 ",32.4% 
3-person household,111,18.30%,"11,633 ",11.9% 
4-person household,135,22.20%,"8,793 ",9.0% 
5-person household,48,7.90%,"3,286 ",3.4% 
6-person household,10,1.60%,"1,203 ",1.2% 
7-or-more-person household,2,0.30%,881 ,0.90%
TOTAL HOUSING UNITS,627,100.00%,"105,404 ",100.00%
Occupied Housing Units,607,96.80%,"98,050 ",93.00%
Owner-Occupied,511,81.50%,"42,457 ",40.30%
Renter-Occupied,96,15.30%,"55,593 ",52.70%
Vacant Housing Units,20,3.20%,"7,354 ",7.00%
