Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Leeway Overlee,,,,
2010 Census (Summary File 1),Leeway Overlee,,Arlington ,
Leeway Overlee,Number,Percent,Number,Percent
TOTAL POPULATION,"2,354 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,143 ",91.00%,"176,245 ",84.90%
White alone,"1,893 ",80.40%,"132,961 ",64.00%
Black or African-American alone,38 ,1.60%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.00%,394 ,0.20%
Asian alone,140 ,5.90%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,18 ,0.80%,611 ,0.30%
Two or more Races,53 ,2.30%,"5,296 ",2.60%
Total Hispanic or Latino,211 ,9.00%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,173 ,7.30%,"11,782 ",5.7% 
5 to 17 years,469 ,19.90%,"20,844 ",10.0% 
18 to 24 years,114 ,4.80%,"20,315 ",9.8% 
25 to 34 years,238 ,10.10%,"57,402 ",27.6% 
35 to 44 years,401 ,17.00%,"32,868 ",15.8% 
45 to 54 years,421 ,17.90%,"25,717 ",12.4% 
55 to 64 years,301 ,12.80%,"20,645 ",9.9% 
65 to 74 years,147 ,6.20%,"10,086 ",4.9% 
75 to 84 years,62 ,2.60%,"5,153 ",2.5% 
85 years and over,28 ,1.20%,"2,815 ",1.40%
Sex,,,,
Male,"1,105 ",46.90%,"103,501 ",49.80%
Female,"1,249 ",53.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,843 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,628 ,74.50%,"41,607 ",42.4% 
Husband-wife family,540 ,64.10%,"33,218 ",33.9% 
Other family:,88 ,10.40%,"8,389 ",8.6% 
"Male householder, no wife present",19 ,2.30%,"2,623 ",2.7% 
"Female householder, no husband present",69 ,8.20%,"5,766 ",5.9% 
Nonfamily households:,215 ,25.50%,"56,443 ",57.6% 
Householder living alone,155 ,18.40%,"40,516 ",41.3% 
Householder not living alone,60 ,7.10%,"15,927 ",16.20%
Household Size ,,,,
1-person household,155,18.40%,"40,516 ",41.3% 
2-person household,269,31.90%,"31,738 ",32.4% 
3-person household,165,19.60%,"11,633 ",11.9% 
4-person household,163,19.30%,"8,793 ",9.0% 
5-person household,60,7.10%,"3,286 ",3.4% 
6-person household,18,2.10%,"1,203 ",1.2% 
7-or-more-person household,13,1.50%,881 ,0.90%
TOTAL HOUSING UNITS,871,100.00%,"105,404 ",100.00%
Occupied Housing Units,843,96.80%,"98,050 ",93.00%
Owner-Occupied,703,80.70%,"42,457 ",40.30%
Renter-Occupied,140,16.10%,"55,593 ",52.70%
Vacant Housing Units,28,3.20%,"7,354 ",7.00%
