Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Long Branch Creek,,,,
2010 Census (Summary File 1),Long Branch Creek,,Arlington ,
Long Branch Creek,Number,Percent,Number,Percent
TOTAL POPULATION,"4,024 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"3,327 ",82.70%,"176,245 ",84.90%
White alone,"1,999 ",49.70%,"132,961 ",64.00%
Black or African-American alone,814 ,20.20%,"17,088 ",8.20%
American Indian or Alaska Native alone,16 ,0.40%,394 ,0.20%
Asian alone,373 ,9.30%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,11 ,0.30%,133 ,0.10%
Some other Race alone,22 ,0.50%,611 ,0.30%
Two or more Races,92 ,2.30%,"5,296 ",2.60%
Total Hispanic or Latino,697 ,17.30%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,250 ,6.20%,"11,782 ",5.7% 
5 to 17 years,338 ,8.40%,"20,844 ",10.0% 
18 to 24 years,454 ,11.30%,"20,315 ",9.8% 
25 to 34 years,"1,565 ",38.90%,"57,402 ",27.6% 
35 to 44 years,668 ,16.60%,"32,868 ",15.8% 
45 to 54 years,396 ,9.80%,"25,717 ",12.4% 
55 to 64 years,223 ,5.50%,"20,645 ",9.9% 
65 to 74 years,79 ,2.00%,"10,086 ",4.9% 
75 to 84 years,36 ,0.90%,"5,153 ",2.5% 
85 years and over,15 ,0.40%,"2,815 ",1.40%
Sex,,,,
Male,"1,851 ",46.00%,"103,501 ",49.80%
Female,"2,173 ",54.00%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"2,044 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,747 ,36.50%,"41,607 ",42.4% 
Husband-wife family,541 ,26.50%,"33,218 ",33.9% 
Other family:,206 ,10.10%,"8,389 ",8.6% 
"Male householder, no wife present",47 ,2.30%,"2,623 ",2.7% 
"Female householder, no husband present",159 ,7.80%,"5,766 ",5.9% 
Nonfamily households:,"1,297 ",63.50%,"56,443 ",57.6% 
Householder living alone,886 ,43.30%,"40,516 ",41.3% 
Householder not living alone,411 ,20.10%,"15,927 ",16.20%
Household Size ,,,,
1-person household,886,43.30%,"40,516 ",41.3% 
2-person household,708,34.60%,"31,738 ",32.4% 
3-person household,244,11.90%,"11,633 ",11.9% 
4-person household,114,5.60%,"8,793 ",9.0% 
5-person household,52,2.50%,"3,286 ",3.4% 
6-person household,24,1.20%,"1,203 ",1.2% 
7-or-more-person household,16,0.80%,881 ,0.90%
TOTAL HOUSING UNITS,2313,100.00%,"105,404 ",100.00%
Occupied Housing Units,2044,88.40%,"98,050 ",93.00%
Owner-Occupied,332,14.40%,"42,457 ",40.30%
Renter-Occupied,1712,74.00%,"55,593 ",52.70%
Vacant Housing Units,269,11.60%,"7,354 ",7.00%
