Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Lyon Park,,,,
2010 Census (Summary File 1),Lyon Park,,Arlington ,
Lyon Park,Number,Percent,Number,Percent
TOTAL POPULATION,"4,862 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"4,394 ",90.40%,"176,245 ",84.90%
White alone,"3,630 ",74.70%,"132,961 ",64.00%
Black or African-American alone,214 ,4.40%,"17,088 ",8.20%
American Indian or Alaska Native alone,3 ,0.10%,394 ,0.20%
Asian alone,430 ,8.80%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,6 ,0.10%,611 ,0.30%
Two or more Races,111 ,2.30%,"5,296 ",2.60%
Total Hispanic or Latino,468 ,9.60%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,249 ,5.10%,"11,782 ",5.7% 
5 to 17 years,434 ,8.90%,"20,844 ",10.0% 
18 to 24 years,561 ,11.50%,"20,315 ",9.8% 
25 to 34 years,"1,679 ",34.50%,"57,402 ",27.6% 
35 to 44 years,747 ,15.40%,"32,868 ",15.8% 
45 to 54 years,539 ,11.10%,"25,717 ",12.4% 
55 to 64 years,377 ,7.80%,"20,645 ",9.9% 
65 to 74 years,180 ,3.70%,"10,086 ",4.9% 
75 to 84 years,61 ,1.30%,"5,153 ",2.5% 
85 years and over,35 ,0.70%,"2,815 ",1.40%
Sex,,,,
Male,"2,458 ",50.60%,"103,501 ",49.80%
Female,"2,404 ",49.40%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"2,370 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,871 ,36.80%,"41,607 ",42.4% 
Husband-wife family,725 ,30.60%,"33,218 ",33.9% 
Other family:,146 ,6.20%,"8,389 ",8.6% 
"Male householder, no wife present",47 ,2.00%,"2,623 ",2.7% 
"Female householder, no husband present",99 ,4.20%,"5,766 ",5.9% 
Nonfamily households:,"1,499 ",63.20%,"56,443 ",57.6% 
Householder living alone,"1,030 ",43.50%,"40,516 ",41.3% 
Householder not living alone,469 ,19.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,1030,43.50%,"40,516 ",41.3% 
2-person household,739,31.20%,"31,738 ",32.4% 
3-person household,270,11.40%,"11,633 ",11.9% 
4-person household,235,9.90%,"8,793 ",9.0% 
5-person household,67,2.80%,"3,286 ",3.4% 
6-person household,13,0.50%,"1,203 ",1.2% 
7-or-more-person household,16,0.70%,881 ,0.90%
TOTAL HOUSING UNITS,2526,100.00%,"105,404 ",100.00%
Occupied Housing Units,2370,93.80%,"98,050 ",93.00%
Owner-Occupied,908,35.90%,"42,457 ",40.30%
Renter-Occupied,1462,57.90%,"55,593 ",52.70%
Vacant Housing Units,156,6.20%,"7,354 ",7.00%
