Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Lyon Village,,,,
2010 Census (Summary File 1),Lyon Village,,Arlington ,
Lyon Village,Number,Percent,Number,Percent
TOTAL POPULATION,"3,531 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"3,328 ",94.30%,"176,245 ",84.90%
White alone,"2,953 ",83.60%,"132,961 ",64.00%
Black or African-American alone,62 ,1.80%,"17,088 ",8.20%
American Indian or Alaska Native alone,5 ,0.10%,394 ,0.20%
Asian alone,199 ,5.60%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,3 ,0.10%,133 ,0.10%
Some other Race alone,10 ,0.30%,611 ,0.30%
Two or more Races,96 ,2.70%,"5,296 ",2.60%
Total Hispanic or Latino,203 ,5.70%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,212 ,6.00%,"11,782 ",5.7% 
5 to 17 years,371 ,10.50%,"20,844 ",10.0% 
18 to 24 years,288 ,8.20%,"20,315 ",9.8% 
25 to 34 years,"1,057 ",29.90%,"57,402 ",27.6% 
35 to 44 years,558 ,15.80%,"32,868 ",15.8% 
45 to 54 years,427 ,12.10%,"25,717 ",12.4% 
55 to 64 years,345 ,9.80%,"20,645 ",9.9% 
65 to 74 years,166 ,4.70%,"10,086 ",4.9% 
75 to 84 years,65 ,1.80%,"5,153 ",2.5% 
85 years and over,42 ,1.20%,"2,815 ",1.40%
Sex,,,,
Male,"1,782 ",50.50%,"103,501 ",49.80%
Female,"1,749 ",49.50%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,587 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,716 ,45.10%,"41,607 ",42.4% 
Husband-wife family,630 ,39.70%,"33,218 ",33.9% 
Other family:,86 ,5.40%,"8,389 ",8.6% 
"Male householder, no wife present",29 ,1.80%,"2,623 ",2.7% 
"Female householder, no husband present",57 ,3.60%,"5,766 ",5.9% 
Nonfamily households:,871 ,54.90%,"56,443 ",57.6% 
Householder living alone,537 ,33.80%,"40,516 ",41.3% 
Householder not living alone,334 ,21.00%,"15,927 ",16.20%
Household Size ,,,,
1-person household,537,33.80%,"40,516 ",41.3% 
2-person household,577,36.40%,"31,738 ",32.4% 
3-person household,182,11.50%,"11,633 ",11.9% 
4-person household,200,12.60%,"8,793 ",9.0% 
5-person household,60,3.80%,"3,286 ",3.4% 
6-person household,23,1.40%,"1,203 ",1.2% 
7-or-more-person household,8,0.50%,881 ,0.90%
TOTAL HOUSING UNITS,1665,100.00%,"105,404 ",100.00%
Occupied Housing Units,1587,95.30%,"98,050 ",93.00%
Owner-Occupied,713,42.80%,"42,457 ",40.30%
Renter-Occupied,874,52.50%,"55,593 ",52.70%
Vacant Housing Units,78,4.70%,"7,354 ",7.00%
