Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Madison Manor,,,,
2010 Census (Summary File 1),Madison Manor,,Arlington ,
Madison Manor,Number,Percent,Number,Percent
TOTAL POPULATION,"1,370 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,305 ",95.30%,"176,245 ",84.90%
White alone,"1,162 ",84.80%,"132,961 ",64.00%
Black or African-American alone,13 ,0.90%,"17,088 ",8.20%
American Indian or Alaska Native alone,3 ,0.20%,394 ,0.20%
Asian alone,83 ,6.10%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,1 ,0.10%,611 ,0.30%
Two or more Races,43 ,3.10%,"5,296 ",2.60%
Total Hispanic or Latino,65 ,4.70%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,100 ,7.30%,"11,782 ",5.7% 
5 to 17 years,255 ,18.60%,"20,844 ",10.0% 
18 to 24 years,71 ,5.20%,"20,315 ",9.8% 
25 to 34 years,164 ,12.00%,"57,402 ",27.6% 
35 to 44 years,235 ,17.20%,"32,868 ",15.8% 
45 to 54 years,205 ,15.00%,"25,717 ",12.4% 
55 to 64 years,183 ,13.40%,"20,645 ",9.9% 
65 to 74 years,73 ,5.30%,"10,086 ",4.9% 
75 to 84 years,58 ,4.20%,"5,153 ",2.5% 
85 years and over,26 ,1.90%,"2,815 ",1.40%
Sex,,,,
Male,705 ,51.50%,"103,501 ",49.80%
Female,665 ,48.50%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,495 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,371 ,74.90%,"41,607 ",42.4% 
Husband-wife family,324 ,65.50%,"33,218 ",33.9% 
Other family:,47 ,9.50%,"8,389 ",8.6% 
"Male householder, no wife present",13 ,2.60%,"2,623 ",2.7% 
"Female householder, no husband present",34 ,6.90%,"5,766 ",5.9% 
Nonfamily households:,124 ,25.10%,"56,443 ",57.6% 
Householder living alone,76 ,15.40%,"40,516 ",41.3% 
Householder not living alone,48 ,9.70%,"15,927 ",16.20%
Household Size ,,,,
1-person household,76,15.40%,"40,516 ",41.3% 
2-person household,163,32.90%,"31,738 ",32.4% 
3-person household,97,19.60%,"11,633 ",11.9% 
4-person household,125,25.30%,"8,793 ",9.0% 
5-person household,29,5.90%,"3,286 ",3.4% 
6-person household,3,0.60%,"1,203 ",1.2% 
7-or-more-person household,2,0.40%,881 ,0.90%
TOTAL HOUSING UNITS,505,100.00%,"105,404 ",100.00%
Occupied Housing Units,495,98.00%,"98,050 ",93.00%
Owner-Occupied,417,82.60%,"42,457 ",40.30%
Renter-Occupied,78,15.40%,"55,593 ",52.70%
Vacant Housing Units,10,2.00%,"7,354 ",7.00%
