Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Maywood,,,,
2010 Census (Summary File 1),Maywood,,Arlington ,
Maywood,Number,Percent,Number,Percent
TOTAL POPULATION,"1,121 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,049 ",93.60%,"176,245 ",84.90%
White alone,912 ,81.40%,"132,961 ",64.00%
Black or African-American alone,28 ,2.50%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.20%,394 ,0.20%
Asian alone,61 ,5.40%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,3 ,0.30%,611 ,0.30%
Two or more Races,43 ,3.80%,"5,296 ",2.60%
Total Hispanic or Latino,72 ,6.40%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,79 ,7.00%,"11,782 ",5.7% 
5 to 17 years,164 ,14.60%,"20,844 ",10.0% 
18 to 24 years,85 ,7.60%,"20,315 ",9.8% 
25 to 34 years,189 ,16.90%,"57,402 ",27.6% 
35 to 44 years,195 ,17.40%,"32,868 ",15.8% 
45 to 54 years,156 ,13.90%,"25,717 ",12.4% 
55 to 64 years,166 ,14.80%,"20,645 ",9.9% 
65 to 74 years,58 ,5.20%,"10,086 ",4.9% 
75 to 84 years,18 ,1.60%,"5,153 ",2.5% 
85 years and over,11 ,1.00%,"2,815 ",1.40%
Sex,,,,
Male,549 ,49.00%,"103,501 ",49.80%
Female,572 ,51.00%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,444 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,277 ,62.40%,"41,607 ",42.4% 
Husband-wife family,239 ,53.80%,"33,218 ",33.9% 
Other family:,38 ,8.60%,"8,389 ",8.6% 
"Male householder, no wife present",11 ,2.50%,"2,623 ",2.7% 
"Female householder, no husband present",27 ,6.10%,"5,766 ",5.9% 
Nonfamily households:,167 ,37.60%,"56,443 ",57.6% 
Householder living alone,99 ,22.30%,"40,516 ",41.3% 
Householder not living alone,68 ,15.30%,"15,927 ",16.20%
Household Size ,,,,
1-person household,99,22.30%,"40,516 ",41.3% 
2-person household,160,36.00%,"31,738 ",32.4% 
3-person household,85,19.10%,"11,633 ",11.9% 
4-person household,65,14.60%,"8,793 ",9.0% 
5-person household,26,5.90%,"3,286 ",3.4% 
6-person household,6,1.40%,"1,203 ",1.2% 
7-or-more-person household,3,0.70%,881 ,0.90%
TOTAL HOUSING UNITS,461,100.00%,"105,404 ",100.00%
Occupied Housing Units,444,96.30%,"98,050 ",93.00%
Owner-Occupied,299,64.90%,"42,457 ",40.30%
Renter-Occupied,145,31.50%,"55,593 ",52.70%
Vacant Housing Units,17,3.70%,"7,354 ",7.00%
