Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Nauck,,,,
2010 Census (Summary File 1),Nauck,,Arlington ,
Nauck,Number,Percent,Number,Percent
TOTAL POPULATION,"5,738 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"4,261 ",74.30%,"176,245 ",84.90%
White alone,"1,566 ",27.30%,"132,961 ",64.00%
Black or African-American alone,"2,061 ",35.90%,"17,088 ",8.20%
American Indian or Alaska Native alone,12 ,0.20%,394 ,0.20%
Asian alone,432 ,7.50%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,4 ,0.10%,133 ,0.10%
Some other Race alone,37 ,0.60%,611 ,0.30%
Two or more Races,149 ,2.60%,"5,296 ",2.60%
Total Hispanic or Latino,"1,477 ",25.70%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,365 ,6.40%,"11,782 ",5.7% 
5 to 17 years,758 ,13.20%,"20,844 ",10.0% 
18 to 24 years,603 ,10.50%,"20,315 ",9.8% 
25 to 34 years,"1,492 ",26.00%,"57,402 ",27.6% 
35 to 44 years,869 ,15.10%,"32,868 ",15.8% 
45 to 54 years,736 ,12.80%,"25,717 ",12.4% 
55 to 64 years,492 ,8.60%,"20,645 ",9.9% 
65 to 74 years,221 ,3.90%,"10,086 ",4.9% 
75 to 84 years,145 ,2.50%,"5,153 ",2.5% 
85 years and over,57 ,1.00%,"2,815 ",1.40%
Sex,,,,
Male,"2,818 ",49.10%,"103,501 ",49.80%
Female,"2,920 ",50.90%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"2,287 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,189 ",52.00%,"41,607 ",42.4% 
Husband-wife family,698 ,30.50%,"33,218 ",33.9% 
Other family:,491 ,21.50%,"8,389 ",8.6% 
"Male householder, no wife present",132 ,5.80%,"2,623 ",2.7% 
"Female householder, no husband present",359 ,15.70%,"5,766 ",5.9% 
Nonfamily households:,"1,098 ",48.00%,"56,443 ",57.6% 
Householder living alone,764 ,33.40%,"40,516 ",41.3% 
Householder not living alone,334 ,14.60%,"15,927 ",16.20%
Household Size ,,,,
1-person household,764,33.40%,"40,516 ",41.3% 
2-person household,708,31.00%,"31,738 ",32.4% 
3-person household,308,13.50%,"11,633 ",11.9% 
4-person household,217,9.50%,"8,793 ",9.0% 
5-person household,134,5.90%,"3,286 ",3.4% 
6-person household,88,3.80%,"1,203 ",1.2% 
7-or-more-person household,68,3.00%,881 ,0.90%
TOTAL HOUSING UNITS,2398,100.00%,"105,404 ",100.00%
Occupied Housing Units,2287,95.40%,"98,050 ",93.00%
Owner-Occupied,1095,45.70%,"42,457 ",40.30%
Renter-Occupied,1192,49.70%,"55,593 ",52.70%
Vacant Housing Units,111,4.60%,"7,354 ",7.00%
