Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 North Highlands,,,,
2010 Census (Summary File 1),North Highlands,,Arlington ,
North Highlands,Number,Percent,Number,Percent
TOTAL POPULATION,"3,032 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,767 ",91.30%,"176,245 ",84.90%
White alone,"2,208 ",72.80%,"132,961 ",64.00%
Black or African-American alone,129 ,4.30%,"17,088 ",8.20%
American Indian or Alaska Native alone,3 ,0.10%,394 ,0.20%
Asian alone,330 ,10.90%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.00%,133 ,0.10%
Some other Race alone,5 ,0.20%,611 ,0.30%
Two or more Races,91 ,3.00%,"5,296 ",2.60%
Total Hispanic or Latino,265 ,8.70%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,132 ,4.40%,"11,782 ",5.7% 
5 to 17 years,113 ,3.70%,"20,844 ",10.0% 
18 to 24 years,419 ,13.80%,"20,315 ",9.8% 
25 to 34 years,"1,299 ",42.80%,"57,402 ",27.6% 
35 to 44 years,409 ,13.50%,"32,868 ",15.8% 
45 to 54 years,260 ,8.60%,"25,717 ",12.4% 
55 to 64 years,220 ,7.30%,"20,645 ",9.9% 
65 to 74 years,121 ,4.00%,"10,086 ",4.9% 
75 to 84 years,43 ,1.40%,"5,153 ",2.5% 
85 years and over,16 ,0.50%,"2,815 ",1.40%
Sex,,,,
Male,"1,509 ",49.80%,"103,501 ",49.80%
Female,"1,523 ",50.20%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,758 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,460 ,26.20%,"41,607 ",42.4% 
Husband-wife family,356 ,20.30%,"33,218 ",33.9% 
Other family:,104 ,5.90%,"8,389 ",8.6% 
"Male householder, no wife present",35 ,2.00%,"2,623 ",2.7% 
"Female householder, no husband present",69 ,3.90%,"5,766 ",5.9% 
Nonfamily households:,"1,298 ",73.80%,"56,443 ",57.6% 
Householder living alone,868 ,49.40%,"40,516 ",41.3% 
Householder not living alone,430 ,24.50%,"15,927 ",16.20%
Household Size ,,,,
1-person household,868,49.40%,"40,516 ",41.3% 
2-person household,640,36.40%,"31,738 ",32.4% 
3-person household,141,8.00%,"11,633 ",11.9% 
4-person household,90,5.10%,"8,793 ",9.0% 
5-person household,14,0.80%,"3,286 ",3.4% 
6-person household,4,0.20%,"1,203 ",1.2% 
7-or-more-person household,1,0.10%,881 ,0.90%
TOTAL HOUSING UNITS,1852,100.00%,"105,404 ",100.00%
Occupied Housing Units,1758,94.90%,"98,050 ",93.00%
Owner-Occupied,462,24.90%,"42,457 ",40.30%
Renter-Occupied,1296,70.00%,"55,593 ",52.70%
Vacant Housing Units,94,5.10%,"7,354 ",7.00%
