Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 North Rosslyn,,,,
2010 Census (Summary File 1),North Rosslyn,,Arlington ,
North Rosslyn,Number,Percent,Number,Percent
TOTAL POPULATION,"2,536 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,321 ",91.50%,"176,245 ",84.90%
White alone,"1,755 ",69.20%,"132,961 ",64.00%
Black or African-American alone,148 ,5.80%,"17,088 ",8.20%
American Indian or Alaska Native alone,3 ,0.10%,394 ,0.20%
Asian alone,318 ,12.50%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,4 ,0.20%,133 ,0.10%
Some other Race alone,7 ,0.30%,611 ,0.30%
Two or more Races,86 ,3.40%,"5,296 ",2.60%
Total Hispanic or Latino,215 ,8.50%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,71 ,2.80%,"11,782 ",5.7% 
5 to 17 years,65 ,2.60%,"20,844 ",10.0% 
18 to 24 years,401 ,15.80%,"20,315 ",9.8% 
25 to 34 years,956 ,37.70%,"57,402 ",27.6% 
35 to 44 years,359 ,14.20%,"32,868 ",15.8% 
45 to 54 years,237 ,9.30%,"25,717 ",12.4% 
55 to 64 years,218 ,8.60%,"20,645 ",9.9% 
65 to 74 years,162 ,6.40%,"10,086 ",4.9% 
75 to 84 years,53 ,2.10%,"5,153 ",2.5% 
85 years and over,14 ,0.60%,"2,815 ",1.40%
Sex,,,,
Male,"1,339 ",52.80%,"103,501 ",49.80%
Female,"1,197 ",47.20%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,442 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,431 ,29.90%,"41,607 ",42.4% 
Husband-wife family,344 ,23.90%,"33,218 ",33.9% 
Other family:,87 ,6.00%,"8,389 ",8.6% 
"Male householder, no wife present",43 ,3.00%,"2,623 ",2.7% 
"Female householder, no husband present",44 ,3.10%,"5,766 ",5.9% 
Nonfamily households:,"1,011 ",70.10%,"56,443 ",57.6% 
Householder living alone,681 ,47.20%,"40,516 ",41.3% 
Householder not living alone,330 ,22.90%,"15,927 ",16.20%
Household Size ,,,,
1-person household,681,47.20%,"40,516 ",41.3% 
2-person household,550,38.10%,"31,738 ",32.4% 
3-person household,125,8.70%,"11,633 ",11.9% 
4-person household,67,4.60%,"8,793 ",9.0% 
5-person household,11,0.80%,"3,286 ",3.4% 
6-person household,6,0.40%,"1,203 ",1.2% 
7-or-more-person household,2,0.10%,881 ,0.90%
TOTAL HOUSING UNITS,1564,100.00%,"105,404 ",100.00%
Occupied Housing Units,1442,92.20%,"98,050 ",93.00%
Owner-Occupied,472,30.20%,"42,457 ",40.30%
Renter-Occupied,970,62.00%,"55,593 ",52.70%
Vacant Housing Units,122,7.80%,"7,354 ",7.00%
