Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Penrose,,,,
2010 Census (Summary File 1),Penrose,,Arlington ,
Penrose,Number,Percent,Number,Percent
TOTAL POPULATION,"4,780 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"3,953 ",82.70%,"176,245 ",84.90%
White alone,"2,551 ",53.40%,"132,961 ",64.00%
Black or African-American alone,753 ,15.80%,"17,088 ",8.20%
American Indian or Alaska Native alone,13 ,0.30%,394 ,0.20%
Asian alone,473 ,9.90%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,6 ,0.10%,133 ,0.10%
Some other Race alone,20 ,0.40%,611 ,0.30%
Two or more Races,137 ,2.90%,"5,296 ",2.60%
Total Hispanic or Latino,827 ,17.30%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,245 ,5.10%,"11,782 ",5.7% 
5 to 17 years,414 ,8.70%,"20,844 ",10.0% 
18 to 24 years,428 ,9.00%,"20,315 ",9.8% 
25 to 34 years,"1,498 ",31.30%,"57,402 ",27.6% 
35 to 44 years,787 ,16.50%,"32,868 ",15.8% 
45 to 54 years,618 ,12.90%,"25,717 ",12.4% 
55 to 64 years,473 ,9.90%,"20,645 ",9.9% 
65 to 74 years,192 ,4.00%,"10,086 ",4.9% 
75 to 84 years,89 ,1.90%,"5,153 ",2.5% 
85 years and over,36 ,0.80%,"2,815 ",1.40%
Sex,,,,
Male,"2,431 ",50.90%,"103,501 ",49.80%
Female,"2,349 ",49.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"2,394 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,934 ,39.00%,"41,607 ",42.4% 
Husband-wife family,667 ,27.90%,"33,218 ",33.9% 
Other family:,267 ,11.20%,"8,389 ",8.6% 
"Male householder, no wife present",88 ,3.70%,"2,623 ",2.7% 
"Female householder, no husband present",179 ,7.50%,"5,766 ",5.9% 
Nonfamily households:,"1,460 ",61.00%,"56,443 ",57.6% 
Householder living alone,"1,077 ",45.00%,"40,516 ",41.3% 
Householder not living alone,383 ,16.00%,"15,927 ",16.20%
Household Size ,,,,
1-person household,1077,45.00%,"40,516 ",41.3% 
2-person household,739,30.90%,"31,738 ",32.4% 
3-person household,303,12.70%,"11,633 ",11.9% 
4-person household,168,7.00%,"8,793 ",9.0% 
5-person household,58,2.40%,"3,286 ",3.4% 
6-person household,27,1.10%,"1,203 ",1.2% 
7-or-more-person household,22,0.90%,881 ,0.90%
TOTAL HOUSING UNITS,2694,100.00%,"105,404 ",100.00%
Occupied Housing Units,2394,88.90%,"98,050 ",93.00%
Owner-Occupied,574,21.30%,"42,457 ",40.30%
Renter-Occupied,1820,67.60%,"55,593 ",52.70%
Vacant Housing Units,300,11.10%,"7,354 ",7.00%
