Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Radnor/Ft.Myer Heights,,,,
2010 Census (Summary File 1),Radnor/Ft.Myer Heights,,Arlington ,
Radnor/Ft.Myer Heights,Number,Percent,Number,Percent
TOTAL POPULATION,"11,453 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"10,099 ",88.20%,"176,245 ",84.90%
White alone,"6,989 ",61.00%,"132,961 ",64.00%
Black or African-American alone,829 ,7.20%,"17,088 ",8.20%
American Indian or Alaska Native alone,22 ,0.20%,394 ,0.20%
Asian alone,"1,881 ",16.40%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,16 ,0.10%,133 ,0.10%
Some other Race alone,43 ,0.40%,611 ,0.30%
Two or more Races,319 ,2.80%,"5,296 ",2.60%
Total Hispanic or Latino,"1,354 ",11.80%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,362 ,3.20%,"11,782 ",5.7% 
5 to 17 years,391 ,3.40%,"20,844 ",10.0% 
18 to 24 years,"1,717 ",15.00%,"20,315 ",9.8% 
25 to 34 years,"4,860 ",42.40%,"57,402 ",27.6% 
35 to 44 years,"1,667 ",14.60%,"32,868 ",15.8% 
45 to 54 years,"1,067 ",9.30%,"25,717 ",12.4% 
55 to 64 years,787 ,6.90%,"20,645 ",9.9% 
65 to 74 years,400 ,3.50%,"10,086 ",4.9% 
75 to 84 years,158 ,1.40%,"5,153 ",2.5% 
85 years and over,44 ,0.40%,"2,815 ",1.40%
Sex,,,,
Male,"6,035 ",52.70%,"103,501 ",49.80%
Female,"5,418 ",47.30%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"6,637 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,"1,683 ",25.40%,"41,607 ",42.4% 
Husband-wife family,"1,316 ",19.80%,"33,218 ",33.9% 
Other family:,367 ,5.50%,"8,389 ",8.6% 
"Male householder, no wife present",120 ,1.80%,"2,623 ",2.7% 
"Female householder, no husband present",247 ,3.70%,"5,766 ",5.9% 
Nonfamily households:,"4,954 ",74.60%,"56,443 ",57.6% 
Householder living alone,"3,571 ",53.80%,"40,516 ",41.3% 
Householder not living alone,"1,383 ",20.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,3571,53.80%,"40,516 ",41.3% 
2-person household,2253,33.90%,"31,738 ",32.4% 
3-person household,554,8.30%,"11,633 ",11.9% 
4-person household,186,2.80%,"8,793 ",9.0% 
5-person household,48,0.70%,"3,286 ",3.4% 
6-person household,16,0.20%,"1,203 ",1.2% 
7-or-more-person household,9,0.10%,881 ,0.90%
TOTAL HOUSING UNITS,7289,100.00%,"105,404 ",100.00%
Occupied Housing Units,6637,91.10%,"98,050 ",93.00%
Owner-Occupied,1671,22.90%,"42,457 ",40.30%
Renter-Occupied,4966,68.10%,"55,593 ",52.70%
Vacant Housing Units,652,8.90%,"7,354 ",7.00%
