Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Rivercrest,,,,
2010 Census (Summary File 1),Rivercrest,,Arlington ,
Rivercrest,Number,Percent,Number,Percent
TOTAL POPULATION,344 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,323 ,93.90%,"176,245 ",84.90%
White alone,295 ,85.80%,"132,961 ",64.00%
Black or African-American alone,5 ,1.50%,"17,088 ",8.20%
American Indian or Alaska Native alone,- ,0.00%,394 ,0.20%
Asian alone,18 ,5.20%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,- ,0.00%,611 ,0.30%
Two or more Races,5 ,1.50%,"5,296 ",2.60%
Total Hispanic or Latino,21 ,6.10%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,20 ,5.80%,"11,782 ",5.7% 
5 to 17 years,62 ,18.00%,"20,844 ",10.0% 
18 to 24 years,9 ,2.60%,"20,315 ",9.8% 
25 to 34 years,19 ,5.50%,"57,402 ",27.6% 
35 to 44 years,45 ,13.10%,"32,868 ",15.8% 
45 to 54 years,67 ,19.50%,"25,717 ",12.4% 
55 to 64 years,52 ,15.10%,"20,645 ",9.9% 
65 to 74 years,39 ,11.30%,"10,086 ",4.9% 
75 to 84 years,13 ,3.80%,"5,153 ",2.5% 
85 years and over,18 ,5.20%,"2,815 ",1.40%
Sex,,,,
Male,175 ,50.90%,"103,501 ",49.80%
Female,169 ,49.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,126 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,108 ,85.70%,"41,607 ",42.4% 
Husband-wife family,101 ,80.20%,"33,218 ",33.9% 
Other family:,7 ,5.60%,"8,389 ",8.6% 
"Male householder, no wife present",1 ,0.80%,"2,623 ",2.7% 
"Female householder, no husband present",6 ,4.80%,"5,766 ",5.9% 
Nonfamily households:,18 ,14.30%,"56,443 ",57.6% 
Householder living alone,15 ,11.90%,"40,516 ",41.3% 
Householder not living alone,3 ,2.40%,"15,927 ",16.20%
Household Size ,,,,
1-person household,15,11.90%,"40,516 ",41.3% 
2-person household,52,41.30%,"31,738 ",32.4% 
3-person household,23,18.30%,"11,633 ",11.9% 
4-person household,27,21.40%,"8,793 ",9.0% 
5-person household,6,4.80%,"3,286 ",3.4% 
6-person household,3,2.40%,"1,203 ",1.2% 
7-or-more-person household,0,0.00%,881 ,0.90%
TOTAL HOUSING UNITS,128,100.00%,"105,404 ",100.00%
Occupied Housing Units,126,98.40%,"98,050 ",93.00%
Owner-Occupied,117,91.40%,"42,457 ",40.30%
Renter-Occupied,9,7.00%,"55,593 ",52.70%
Vacant Housing Units,2,1.60%,"7,354 ",7.00%
