Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Riverwood,,,,
2010 Census (Summary File 1),Riverwood,,Arlington ,
Riverwood,Number,Percent,Number,Percent
TOTAL POPULATION,488 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,468 ,95.90%,"176,245 ",84.90%
White alone,435 ,89.10%,"132,961 ",64.00%
Black or African-American alone,- ,0.00%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.20%,394 ,0.20%
Asian alone,18 ,3.70%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,- ,0.00%,611 ,0.30%
Two or more Races,14 ,2.90%,"5,296 ",2.60%
Total Hispanic or Latino,20 ,4.10%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,38 ,7.80%,"11,782 ",5.7% 
5 to 17 years,93 ,19.10%,"20,844 ",10.0% 
18 to 24 years,16 ,3.30%,"20,315 ",9.8% 
25 to 34 years,21 ,4.30%,"57,402 ",27.6% 
35 to 44 years,68 ,13.90%,"32,868 ",15.8% 
45 to 54 years,75 ,15.40%,"25,717 ",12.4% 
55 to 64 years,86 ,17.60%,"20,645 ",9.9% 
65 to 74 years,51 ,10.50%,"10,086 ",4.9% 
75 to 84 years,26 ,5.30%,"5,153 ",2.5% 
85 years and over,14 ,2.90%,"2,815 ",1.40%
Sex,,,,
Male,251 ,51.40%,"103,501 ",49.80%
Female,237 ,48.60%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,174 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,137 ,78.70%,"41,607 ",42.4% 
Husband-wife family,129 ,74.10%,"33,218 ",33.9% 
Other family:,8 ,4.60%,"8,389 ",8.6% 
"Male householder, no wife present",5 ,2.90%,"2,623 ",2.7% 
"Female householder, no husband present",3 ,1.70%,"5,766 ",5.9% 
Nonfamily households:,37 ,21.30%,"56,443 ",57.6% 
Householder living alone,29 ,16.70%,"40,516 ",41.3% 
Householder not living alone,8 ,4.60%,"15,927 ",16.20%
Household Size ,,,,
1-person household,29,16.70%,"40,516 ",41.3% 
2-person household,67,38.50%,"31,738 ",32.4% 
3-person household,23,13.20%,"11,633 ",11.9% 
4-person household,32,18.40%,"8,793 ",9.0% 
5-person household,15,8.60%,"3,286 ",3.4% 
6-person household,6,3.40%,"1,203 ",1.2% 
7-or-more-person household,2,1.10%,881 ,0.90%
TOTAL HOUSING UNITS,185,100.00%,"105,404 ",100.00%
Occupied Housing Units,174,94.10%,"98,050 ",93.00%
Owner-Occupied,161,87.00%,"42,457 ",40.30%
Renter-Occupied,13,7.00%,"55,593 ",52.70%
Vacant Housing Units,11,5.90%,"7,354 ",7.00%
