Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Rock Spring,,,,
2010 Census (Summary File 1),Rock Spring,,Arlington ,
Rock Spring,Number,Percent,Number,Percent
TOTAL POPULATION,"2,850 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,708 ",95.00%,"176,245 ",84.90%
White alone,"2,497 ",87.60%,"132,961 ",64.00%
Black or African-American alone,25 ,0.90%,"17,088 ",8.20%
American Indian or Alaska Native alone,5 ,0.20%,394 ,0.20%
Asian alone,123 ,4.30%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,10 ,0.40%,611 ,0.30%
Two or more Races,48 ,1.70%,"5,296 ",2.60%
Total Hispanic or Latino,142 ,5.00%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,189 ,6.60%,"11,782 ",5.7% 
5 to 17 years,627 ,22.00%,"20,844 ",10.0% 
18 to 24 years,127 ,4.50%,"20,315 ",9.8% 
25 to 34 years,185 ,6.50%,"57,402 ",27.6% 
35 to 44 years,410 ,14.40%,"32,868 ",15.8% 
45 to 54 years,498 ,17.50%,"25,717 ",12.4% 
55 to 64 years,421 ,14.80%,"20,645 ",9.9% 
65 to 74 years,211 ,7.40%,"10,086 ",4.9% 
75 to 84 years,129 ,4.50%,"5,153 ",2.5% 
85 years and over,53 ,1.90%,"2,815 ",1.40%
Sex,,,,
Male,"1,383 ",48.50%,"103,501 ",49.80%
Female,"1,467 ",51.50%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,996 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,798 ,80.10%,"41,607 ",42.4% 
Husband-wife family,713 ,71.60%,"33,218 ",33.9% 
Other family:,85 ,8.50%,"8,389 ",8.6% 
"Male householder, no wife present",22 ,2.20%,"2,623 ",2.7% 
"Female householder, no husband present",63 ,6.30%,"5,766 ",5.9% 
Nonfamily households:,198 ,19.90%,"56,443 ",57.6% 
Householder living alone,159 ,16.00%,"40,516 ",41.3% 
Householder not living alone,39 ,3.90%,"15,927 ",16.20%
Household Size ,,,,
1-person household,159,16.00%,"40,516 ",41.3% 
2-person household,317,31.80%,"31,738 ",32.4% 
3-person household,191,19.20%,"11,633 ",11.9% 
4-person household,206,20.70%,"8,793 ",9.0% 
5-person household,92,9.20%,"3,286 ",3.4% 
6-person household,21,2.10%,"1,203 ",1.2% 
7-or-more-person household,10,1.00%,881 ,0.90%
TOTAL HOUSING UNITS,1024,100.00%,"105,404 ",100.00%
Occupied Housing Units,996,97.30%,"98,050 ",93.00%
Owner-Occupied,920,89.80%,"42,457 ",40.30%
Renter-Occupied,76,7.40%,"55,593 ",52.70%
Vacant Housing Units,28,2.70%,"7,354 ",7.00%
