Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Stafford-Albemarle-Glebe,,,,
2010 Census (Summary File 1),Stafford-Albemarle-Glebe,,Arlington ,
Stafford-Albemarle-Glebe,Number,Percent,Number,Percent
TOTAL POPULATION,727 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,688 ,94.60%,"176,245 ",84.90%
White alone,635 ,87.30%,"132,961 ",64.00%
Black or African-American alone,5 ,0.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,1 ,0.10%,394 ,0.20%
Asian alone,30 ,4.10%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,2 ,0.30%,611 ,0.30%
Two or more Races,15 ,2.10%,"5,296 ",2.60%
Total Hispanic or Latino,39 ,5.40%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,33 ,4.50%,"11,782 ",5.7% 
5 to 17 years,148 ,20.40%,"20,844 ",10.0% 
18 to 24 years,33 ,4.50%,"20,315 ",9.8% 
25 to 34 years,20 ,2.80%,"57,402 ",27.6% 
35 to 44 years,84 ,11.60%,"32,868 ",15.8% 
45 to 54 years,125 ,17.20%,"25,717 ",12.4% 
55 to 64 years,126 ,17.30%,"20,645 ",9.9% 
65 to 74 years,87 ,12.00%,"10,086 ",4.9% 
75 to 84 years,45 ,6.20%,"5,153 ",2.5% 
85 years and over,26 ,3.60%,"2,815 ",1.40%
Sex,,,,
Male,355 ,48.80%,"103,501 ",49.80%
Female,372 ,51.20%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,271 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,228 ,84.10%,"41,607 ",42.4% 
Husband-wife family,202 ,74.50%,"33,218 ",33.9% 
Other family:,26 ,9.60%,"8,389 ",8.6% 
"Male householder, no wife present",10 ,3.70%,"2,623 ",2.7% 
"Female householder, no husband present",16 ,5.90%,"5,766 ",5.9% 
Nonfamily households:,43 ,15.90%,"56,443 ",57.6% 
Householder living alone,38 ,14.00%,"40,516 ",41.3% 
Householder not living alone,5 ,1.80%,"15,927 ",16.20%
Household Size ,,,,
1-person household,38,14.00%,"40,516 ",41.3% 
2-person household,108,39.90%,"31,738 ",32.4% 
3-person household,50,18.50%,"11,633 ",11.9% 
4-person household,55,20.30%,"8,793 ",9.0% 
5-person household,17,6.30%,"3,286 ",3.4% 
6-person household,3,1.10%,"1,203 ",1.2% 
7-or-more-person household,0,0.00%,881 ,0.90%
TOTAL HOUSING UNITS,282,100.00%,"105,404 ",100.00%
Occupied Housing Units,271,96.10%,"98,050 ",93.00%
Owner-Occupied,255,90.40%,"42,457 ",40.30%
Renter-Occupied,16,5.70%,"55,593 ",52.70%
Vacant Housing Units,11,3.90%,"7,354 ",7.00%
