Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Tara Leeway Heights,,,,
2010 Census (Summary File 1),Tara Leeway Heights,,Arlington ,
Tara Leeway Heights,Number,Percent,Number,Percent
TOTAL POPULATION,"2,379 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,223 ",93.40%,"176,245 ",84.90%
White alone,"2,068 ",86.90%,"132,961 ",64.00%
Black or African-American alone,50 ,2.10%,"17,088 ",8.20%
American Indian or Alaska Native alone,5 ,0.20%,394 ,0.20%
Asian alone,61 ,2.60%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,5 ,0.20%,611 ,0.30%
Two or more Races,34 ,1.40%,"5,296 ",2.60%
Total Hispanic or Latino,156 ,6.60%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,208 ,8.70%,"11,782 ",5.7% 
5 to 17 years,413 ,17.40%,"20,844 ",10.0% 
18 to 24 years,138 ,5.80%,"20,315 ",9.8% 
25 to 34 years,215 ,9.00%,"57,402 ",27.6% 
35 to 44 years,398 ,16.70%,"32,868 ",15.8% 
45 to 54 years,362 ,15.20%,"25,717 ",12.4% 
55 to 64 years,366 ,15.40%,"20,645 ",9.9% 
65 to 74 years,177 ,7.40%,"10,086 ",4.9% 
75 to 84 years,69 ,2.90%,"5,153 ",2.5% 
85 years and over,33 ,1.40%,"2,815 ",1.40%
Sex,,,,
Male,"1,140 ",47.90%,"103,501 ",49.80%
Female,"1,239 ",52.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,859 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,650 ,75.70%,"41,607 ",42.4% 
Husband-wife family,576 ,67.10%,"33,218 ",33.9% 
Other family:,74 ,8.60%,"8,389 ",8.6% 
"Male householder, no wife present",16 ,1.90%,"2,623 ",2.7% 
"Female householder, no husband present",58 ,6.80%,"5,766 ",5.9% 
Nonfamily households:,209 ,24.30%,"56,443 ",57.6% 
Householder living alone,145 ,16.90%,"40,516 ",41.3% 
Householder not living alone,64 ,7.50%,"15,927 ",16.20%
Household Size ,,,,
1-person household,145,16.90%,"40,516 ",41.3% 
2-person household,297,34.60%,"31,738 ",32.4% 
3-person household,162,18.90%,"11,633 ",11.9% 
4-person household,183,21.30%,"8,793 ",9.0% 
5-person household,49,5.70%,"3,286 ",3.4% 
6-person household,12,1.40%,"1,203 ",1.2% 
7-or-more-person household,11,1.30%,881 ,0.90%
TOTAL HOUSING UNITS,876,100.00%,"105,404 ",100.00%
Occupied Housing Units,859,98.10%,"98,050 ",93.00%
Owner-Occupied,769,87.80%,"42,457 ",40.30%
Renter-Occupied,90,10.30%,"55,593 ",52.70%
Vacant Housing Units,17,1.90%,"7,354 ",7.00%
