Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Waverly Hills,,,,
2010 Census (Summary File 1),Waverly Hills,,Arlington ,
Waverly Hills,Number,Percent,Number,Percent
TOTAL POPULATION,"3,809 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"3,282 ",86.20%,"176,245 ",84.90%
White alone,"2,500 ",65.60%,"132,961 ",64.00%
Black or African-American alone,252 ,6.60%,"17,088 ",8.20%
American Indian or Alaska Native alone,4 ,0.10%,394 ,0.20%
Asian alone,420 ,11.00%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,1 ,0.00%,133 ,0.10%
Some other Race alone,12 ,0.30%,611 ,0.30%
Two or more Races,93 ,2.40%,"5,296 ",2.60%
Total Hispanic or Latino,527 ,13.80%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,241 ,6.30%,"11,782 ",5.7% 
5 to 17 years,463 ,12.20%,"20,844 ",10.0% 
18 to 24 years,351 ,9.20%,"20,315 ",9.8% 
25 to 34 years,849 ,22.30%,"57,402 ",27.6% 
35 to 44 years,626 ,16.40%,"32,868 ",15.8% 
45 to 54 years,542 ,14.20%,"25,717 ",12.4% 
55 to 64 years,381 ,10.00%,"20,645 ",9.9% 
65 to 74 years,182 ,4.80%,"10,086 ",4.9% 
75 to 84 years,101 ,2.70%,"5,153 ",2.5% 
85 years and over,73 ,1.90%,"2,815 ",1.40%
Sex,,,,
Male,"1,823 ",47.90%,"103,501 ",49.80%
Female,"1,986 ",52.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,700 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,785 ,46.20%,"41,607 ",42.4% 
Husband-wife family,603 ,35.50%,"33,218 ",33.9% 
Other family:,182 ,10.70%,"8,389 ",8.6% 
"Male householder, no wife present",56 ,3.30%,"2,623 ",2.7% 
"Female householder, no husband present",126 ,7.40%,"5,766 ",5.9% 
Nonfamily households:,915 ,53.80%,"56,443 ",57.6% 
Householder living alone,642 ,37.80%,"40,516 ",41.3% 
Householder not living alone,273 ,16.10%,"15,927 ",16.20%
Household Size ,,,,
1-person household,642,37.80%,"40,516 ",41.3% 
2-person household,518,30.50%,"31,738 ",32.4% 
3-person household,234,13.80%,"11,633 ",11.9% 
4-person household,203,11.90%,"8,793 ",9.0% 
5-person household,78,4.60%,"3,286 ",3.4% 
6-person household,14,0.80%,"1,203 ",1.2% 
7-or-more-person household,11,0.60%,881 ,0.90%
TOTAL HOUSING UNITS,1772,100.00%,"105,404 ",100.00%
Occupied Housing Units,1700,95.90%,"98,050 ",93.00%
Owner-Occupied,843,47.60%,"42,457 ",40.30%
Renter-Occupied,857,48.40%,"55,593 ",52.70%
Vacant Housing Units,72,4.10%,"7,354 ",7.00%
