Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Westover Village,,,,
2010 Census (Summary File 1),Westover Village,,Arlington ,
Westover Village,Number,Percent,Number,Percent
TOTAL POPULATION,"2,209 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"1,827 ",82.70%,"176,245 ",84.90%
White alone,"1,412 ",63.90%,"132,961 ",64.00%
Black or African-American alone,151 ,6.80%,"17,088 ",8.20%
American Indian or Alaska Native alone,6 ,0.30%,394 ,0.20%
Asian alone,181 ,8.20%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,5 ,0.20%,611 ,0.30%
Two or more Races,72 ,3.30%,"5,296 ",2.60%
Total Hispanic or Latino,382 ,17.30%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,154 ,7.00%,"11,782 ",5.7% 
5 to 17 years,294 ,13.30%,"20,844 ",10.0% 
18 to 24 years,163 ,7.40%,"20,315 ",9.8% 
25 to 34 years,512 ,23.20%,"57,402 ",27.6% 
35 to 44 years,392 ,17.70%,"32,868 ",15.8% 
45 to 54 years,306 ,13.90%,"25,717 ",12.4% 
55 to 64 years,233 ,10.50%,"20,645 ",9.9% 
65 to 74 years,104 ,4.70%,"10,086 ",4.9% 
75 to 84 years,30 ,1.40%,"5,153 ",2.5% 
85 years and over,21 ,1.00%,"2,815 ",1.40%
Sex,,,,
Male,"1,093 ",49.50%,"103,501 ",49.80%
Female,"1,116 ",50.50%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,097 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,475 ,43.30%,"41,607 ",42.4% 
Husband-wife family,337 ,30.70%,"33,218 ",33.9% 
Other family:,138 ,12.60%,"8,389 ",8.6% 
"Male householder, no wife present",40 ,3.60%,"2,623 ",2.7% 
"Female householder, no husband present",98 ,8.90%,"5,766 ",5.9% 
Nonfamily households:,622 ,56.70%,"56,443 ",57.6% 
Householder living alone,524 ,47.80%,"40,516 ",41.3% 
Householder not living alone,98 ,8.90%,"15,927 ",16.20%
Household Size ,,,,
1-person household,524,47.80%,"40,516 ",41.3% 
2-person household,267,24.30%,"31,738 ",32.4% 
3-person household,130,11.90%,"11,633 ",11.9% 
4-person household,132,12.00%,"8,793 ",9.0% 
5-person household,34,3.10%,"3,286 ",3.4% 
6-person household,8,0.70%,"1,203 ",1.2% 
7-or-more-person household,2,0.20%,881 ,0.90%
TOTAL HOUSING UNITS,1150,100.00%,"105,404 ",100.00%
Occupied Housing Units,1097,95.40%,"98,050 ",93.00%
Owner-Occupied,331,28.80%,"42,457 ",40.30%
Renter-Occupied,766,66.60%,"55,593 ",52.70%
Vacant Housing Units,53,4.60%,"7,354 ",7.00%
