Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Williamsburg,,,,
2010 Census (Summary File 1),Williamsburg,,Arlington ,
Williamsburg,Number,Percent,Number,Percent
TOTAL POPULATION,"2,875 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"2,737 ",95.20%,"176,245 ",84.90%
White alone,"2,441 ",84.90%,"132,961 ",64.00%
Black or African-American alone,50 ,1.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,6 ,0.20%,394 ,0.20%
Asian alone,129 ,4.50%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,10 ,0.30%,133 ,0.10%
Some other Race alone,8 ,0.30%,611 ,0.30%
Two or more Races,93 ,3.20%,"5,296 ",2.60%
Total Hispanic or Latino,138 ,4.80%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,212 ,7.40%,"11,782 ",5.7% 
5 to 17 years,623 ,21.70%,"20,844 ",10.0% 
18 to 24 years,140 ,4.90%,"20,315 ",9.8% 
25 to 34 years,215 ,7.50%,"57,402 ",27.6% 
35 to 44 years,410 ,14.30%,"32,868 ",15.8% 
45 to 54 years,485 ,16.90%,"25,717 ",12.4% 
55 to 64 years,380 ,13.20%,"20,645 ",9.9% 
65 to 74 years,209 ,7.30%,"10,086 ",4.9% 
75 to 84 years,145 ,5.00%,"5,153 ",2.5% 
85 years and over,56 ,1.90%,"2,815 ",1.40%
Sex,,,,
Male,"1,424 ",49.50%,"103,501 ",49.80%
Female,"1,451 ",50.50%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,014 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,762 ,75.10%,"41,607 ",42.4% 
Husband-wife family,688 ,67.90%,"33,218 ",33.9% 
Other family:,74 ,7.30%,"8,389 ",8.6% 
"Male householder, no wife present",24 ,2.40%,"2,623 ",2.7% 
"Female householder, no husband present",50 ,4.90%,"5,766 ",5.9% 
Nonfamily households:,252 ,24.90%,"56,443 ",57.6% 
Householder living alone,182 ,17.90%,"40,516 ",41.3% 
Householder not living alone,70 ,6.90%,"15,927 ",16.20%
Household Size ,,,,
1-person household,182,17.90%,"40,516 ",41.3% 
2-person household,315,31.10%,"31,738 ",32.4% 
3-person household,193,19.00%,"11,633 ",11.9% 
4-person household,197,19.40%,"8,793 ",9.0% 
5-person household,92,9.10%,"3,286 ",3.4% 
6-person household,26,2.60%,"1,203 ",1.2% 
7-or-more-person household,9,0.90%,881 ,0.90%
TOTAL HOUSING UNITS,1051,100.00%,"105,404 ",100.00%
Occupied Housing Units,1014,96.50%,"98,050 ",93.00%
Owner-Occupied,908,86.40%,"42,457 ",40.30%
Renter-Occupied,106,10.10%,"55,593 ",52.70%
Vacant Housing Units,37,3.50%,"7,354 ",7.00%
