Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Woodmont,,,,
2010 Census (Summary File 1),Woodmont,,Arlington ,
Woodmont,Number,Percent,Number,Percent
TOTAL POPULATION,883 ,100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,828 ,93.80%,"176,245 ",84.90%
White alone,771 ,87.30%,"132,961 ",64.00%
Black or African-American alone,6 ,0.70%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.20%,394 ,0.20%
Asian alone,23 ,2.60%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,- ,0.00%,611 ,0.30%
Two or more Races,26 ,2.90%,"5,296 ",2.60%
Total Hispanic or Latino,55 ,6.20%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,64 ,7.20%,"11,782 ",5.7% 
5 to 17 years,167 ,18.90%,"20,844 ",10.0% 
18 to 24 years,42 ,4.80%,"20,315 ",9.8% 
25 to 34 years,68 ,7.70%,"57,402 ",27.6% 
35 to 44 years,128 ,14.50%,"32,868 ",15.8% 
45 to 54 years,159 ,18.00%,"25,717 ",12.4% 
55 to 64 years,131 ,14.80%,"20,645 ",9.9% 
65 to 74 years,60 ,6.80%,"10,086 ",4.9% 
75 to 84 years,35 ,4.00%,"5,153 ",2.5% 
85 years and over,29 ,3.30%,"2,815 ",1.40%
Sex,,,,
Male,447 ,50.60%,"103,501 ",49.80%
Female,436 ,49.40%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,303 ,100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,237 ,78.20%,"41,607 ",42.4% 
Husband-wife family,222 ,73.30%,"33,218 ",33.9% 
Other family:,15 ,5.00%,"8,389 ",8.6% 
"Male householder, no wife present",9 ,3.00%,"2,623 ",2.7% 
"Female householder, no husband present",6 ,2.00%,"5,766 ",5.9% 
Nonfamily households:,66 ,21.80%,"56,443 ",57.6% 
Householder living alone,40 ,13.20%,"40,516 ",41.3% 
Householder not living alone,26 ,8.60%,"15,927 ",16.20%
Household Size ,,,,
1-person household,40,13.20%,"40,516 ",41.3% 
2-person household,109,36.00%,"31,738 ",32.4% 
3-person household,56,18.50%,"11,633 ",11.9% 
4-person household,64,21.10%,"8,793 ",9.0% 
5-person household,26,8.60%,"3,286 ",3.4% 
6-person household,5,1.70%,"1,203 ",1.2% 
7-or-more-person household,3,1.00%,881 ,0.90%
TOTAL HOUSING UNITS,324,100.00%,"105,404 ",100.00%
Occupied Housing Units,303,93.50%,"98,050 ",93.00%
Owner-Occupied,267,82.40%,"42,457 ",40.30%
Renter-Occupied,36,11.10%,"55,593 ",52.70%
Vacant Housing Units,21,6.50%,"7,354 ",7.00%
