Prepared by: CPHD - Planning Division: Planning Research and Analysis Team 08/24/2011 Yorktown,,,,
2010 Census (Summary File 1),Yorktown,,Arlington ,
Yorktown,Number,Percent,Number,Percent
TOTAL POPULATION,"3,616 ",100.00%,"207,627 ",100.00%
Total Non-Hispanic or Latino,"3,395 ",93.90%,"176,245 ",84.90%
White alone,"3,057 ",84.50%,"132,961 ",64.00%
Black or African-American alone,77 ,2.10%,"17,088 ",8.20%
American Indian or Alaska Native alone,2 ,0.10%,394 ,0.20%
Asian alone,159 ,4.40%,"19,762 ",9.50%
Native Hawaiian or Pacific Islander Alone,- ,0.00%,133 ,0.10%
Some other Race alone,8 ,0.20%,611 ,0.30%
Two or more Races,92 ,2.50%,"5,296 ",2.60%
Total Hispanic or Latino,221 ,6.10%,"31,382 ",15.10%
Age Distribution ,,,,
Under 5 years,276 ,7.60%,"11,782 ",5.7% 
5 to 17 years,701 ,19.40%,"20,844 ",10.0% 
18 to 24 years,201 ,5.60%,"20,315 ",9.8% 
25 to 34 years,352 ,9.70%,"57,402 ",27.6% 
35 to 44 years,565 ,15.60%,"32,868 ",15.8% 
45 to 54 years,571 ,15.80%,"25,717 ",12.4% 
55 to 64 years,532 ,14.70%,"20,645 ",9.9% 
65 to 74 years,205 ,5.70%,"10,086 ",4.9% 
75 to 84 years,153 ,4.20%,"5,153 ",2.5% 
85 years and over,60 ,1.70%,"2,815 ",1.40%
Sex,,,,
Male,"1,768 ",48.90%,"103,501 ",49.80%
Female,"1,848 ",51.10%,"104,126 ",50.20%
TOTAL HOUSEHOLDS,"1,279 ",100.00%,"98,050 ",100.00%
Household Type ,,,,
Family households:,970 ,75.80%,"41,607 ",42.4% 
Husband-wife family,854 ,66.80%,"33,218 ",33.9% 
Other family:,116 ,9.10%,"8,389 ",8.6% 
"Male householder, no wife present",35 ,2.70%,"2,623 ",2.7% 
"Female householder, no husband present",81 ,6.30%,"5,766 ",5.9% 
Nonfamily households:,309 ,24.20%,"56,443 ",57.6% 
Householder living alone,215 ,16.80%,"40,516 ",41.3% 
Householder not living alone,94 ,7.30%,"15,927 ",16.20%
Household Size ,,,,
1-person household,215,16.80%,"40,516 ",41.3% 
2-person household,410,32.10%,"31,738 ",32.4% 
3-person household,256,20.00%,"11,633 ",11.9% 
4-person household,248,19.40%,"8,793 ",9.0% 
5-person household,111,8.70%,"3,286 ",3.4% 
6-person household,16,1.30%,"1,203 ",1.2% 
7-or-more-person household,23,1.80%,881 ,0.90%
TOTAL HOUSING UNITS,1319,100.00%,"105,404 ",100.00%
Occupied Housing Units,1279,97.00%,"98,050 ",93.00%
Owner-Occupied,1121,85.00%,"42,457 ",40.30%
Renter-Occupied,158,12.00%,"55,593 ",52.70%
Vacant Housing Units,40,3.00%,"7,354 ",7.00%
